image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9098772321428571,0.8915906065791975,0.8789100025773801,0.7839780968503772,0.8665850390426466,0.9361222374723397
image021-roi6,0.8579537527901786,0.785677242939984,0.859899725664554,0.7542316627945569,0.9496087220787114,0.780174081237911
image023-roi1,0.9113856724330357,0.8426098894915712,0.8804901280588907,0.7864960820150837,0.9219365642237982,0.9056020518358532
image023-roi2,0.8707972935267857,0.7896849852969661,0.85821723821188,0.751646694041733,0.9397749418495002,0.8216434960502934
image023-roi3,0.8275931222098214,0.7602083428241689,0.8350834466250198,0.7168611727643731,0.9263192953889423,0.7396115031989974
image023-roi4,0.8423200334821429,0.8159969700099852,0.8397944720056697,0.7238325035887725,0.8650217177063182,0.8215514074865596
image032-roi3,0.8707449776785714,0.6372066253117605,0.7288953913679591,0.5734346224677717,0.8514056224899599,0.875703862754979
image032-roi4,0.8623482840401786,0.8079093554360286,0.8227912041038535,0.6989339588458531,0.8382315943553736,0.8772070739096738
image033-roi1,0.8672921316964286,0.8777148157857589,0.8511782536423194,0.7409141203506682,0.8261991989521839,0.9022045898043769
image033-roi2,0.8735525948660714,0.780712543967545,0.8330416762606494,0.7138572640634557,0.8928897554233817,0.8629885801345576
image034-roi1,0.9100603376116071,0.7296208817829457,0.8236902828818049,0.7002324905550712,0.9456065303559515,0.89990695797415
image034-roi2,0.8750435965401786,0.825531708264543,0.8259427946802695,0.703494506858668,0.8263542907137823,0.9022857997579582
image038-roi4,0.8522251674107143,0.6456979349200364,0.7745317156236696,0.632029180598376,0.9675918231676915,0.8112005484439087
image038-roi5,0.8783394949776786,0.7359620299379336,0.8125277117175219,0.6842498302783435,0.9068742127046968,0.8666437194207459
image038-roi6,0.8089773995535714,0.5569369103151318,0.7066416711301553,0.5463618668985796,0.966413947185291,0.7597871488241689
image039-roi1,0.8627406529017857,0.8134581248991447,0.8366978568020083,0.7192438023898698,0.8613045149715945,0.8637314708395957
image039-roi2,0.8398088727678571,0.7727515929763121,0.8384083592801732,0.7217754758984144,0.9162581463752235,0.7763558902841825
image039-roi3,0.8380214146205357,0.812994812994813,0.8589884698005936,0.7528306656554771,0.9104981977342945,0.7523028319123021
image061-roi2,0.79290771484375,0.5416348357524828,0.6633212842866256,0.4962458640875541,0.8555287406757349,0.7732997481108312
image061-roi3,0.87799072265625,0.7476823270900911,0.836241500778242,0.7185696184710686,0.9485981308411215,0.8434643747403406
image061-roi4,0.8084193638392857,0.5940854644174576,0.7229465614203213,0.5661051758526037,0.9231933530851475,0.7658065904634368
image061-roi5,0.8368007114955357,0.6065989163544222,0.7062755990772562,0.5459243085880641,0.8451513558176219,0.8342758511049033
image062-roi1,0.8600899832589286,0.574901174110567,0.7083711969757551,0.5484324871953622,0.9225525468661239,0.8459877730751144
image062-roi2,0.8006155831473214,0.5071076901740518,0.6573975578695034,0.48964424407445434,0.9342900945404992,0.7661995921320965
