image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5 - ,0.9090924944196429,0.9345871025763106,0.8714299807625907,0.7721541117594353,0.8162685394815876,0.9653651158230862
image021-roi6 - ,0.8822980608258929,0.8463961492859544,0.8763340875985965,0.7798884685624837,0.908467558121866,0.8600902643455834
image023-roi1 - ,0.9181692940848214,0.8927520189187149,0.8832086812598777,0.7908448663947761,0.8738672182821119,0.9424541036717062
image023-roi2 - ,0.8890904017857143,0.8478878839081603,0.8702385081508988,0.7702851570259874,0.8937993755369753,0.8857347648841967
image023-roi3 - ,0.8587123325892857,0.8270301102775953,0.8551895476237288,0.7470140981405442,0.8853341721560211,0.8349877976386781
image023-roi4 - ,0.8386666434151786,0.8598940875463615,0.8241377016148196,0.7008794335413366,0.7912362667445341,0.8820583030019702
image032-roi3 - ,0.8882533482142857,0.696518705463183,0.7454617676266138,0.5942120761168983,0.8018029565068786,0.9104204552923906
image032-roi4 - ,0.8780517578125,0.8867271828751268,0.8297918948521358,0.7090977162111569,0.7797269171831759,0.9386317198619037
image033-roi1 - ,0.8586948939732143,0.9232715204121893,0.8307785481580485,0.7105399467733581,0.7551299329929196,0.9466834389665683
image033-roi2 - ,0.8938947405133929,0.849896327014218,0.8498229072823981,0.738862660944206,0.8497495002344579,0.9180115681753832
image034-roi1 - ,0.9280569893973214,0.8127268767242631,0.8444058911161817,0.7307114882506528,0.8786546838821082,0.9421682154987837
image034-roi2 - ,0.8875034877232143,0.8932858057868501,0.832563330564784,0.7131550279019098,0.7795708071062288,0.9478930120612992
image038-roi4 - ,0.8918021065848214,0.7356925702704145,0.8163887368125121,0.6897439743974397,0.9169685889978395,0.8828528539177097
image038-roi5 - ,0.8961356026785714,0.8019841046164252,0.8269208415668954,0.7049147839873167,0.8534581008937676,0.9136282054434145
image038-roi6 - ,0.8585553850446429,0.6397739599888999,0.7576708195154014,0.6098792746861623,0.9288356590850823,0.8365966699090233
image039-roi1 - ,0.8779209681919643,0.8834856168064871,0.8437649946995481,0.7297521618282891,0.807462304045107,0.9265316948103616
image039-roi2 - ,0.8584943498883929,0.8389143528163946,0.8451652912274007,0.7318495753610258,0.851510083242017,0.8642912990059198
image039-roi3 - ,0.8514142717633929,0.8769956034036008,0.8602772972130892,0.7548128111421254,0.8441844747682801,0.859964981729598
image061-roi2 - ,0.83746337890625,0.6274630361586884,0.69690909386534,0.5348123377919745,0.7836404855930964,0.8543164643920311
image061-roi3 - ,0.9131992885044643,0.8419935326207697,0.8726574992005116,0.7740837399296494,0.9056393372982158,0.916896032405484
image061-roi4 - ,0.8475603376116071,0.66843764740932,0.7549031977681513,0.6063008084311032,0.8670617029498905,0.8403199579128605
image061-roi5 - ,0.8595057896205357,0.6668253514868767,0.7228347811129268,0.565968106885034,0.789115901750169,0.8807885353500943
image062-roi1 - ,0.8971819196428571,0.669611050527081,0.7575358802483859,0.6097044318670771,0.8720412800605946,0.9028579368133043
image062-roi2 - ,0.8428955078125,0.5736031036154965,0.7026732673267326,0.5416316873998321,0.9066944893961332,0.8264697497971625
