image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7043195452008929,0.7906255812511626,0.42925187242278884,0.2732786147483017,0.2945987155200296,0.9527044060390465
image021-roi6,0.6540876116071429,0.8801711004336107,0.4309320939839918,0.27464209313806154,0.285309983285215,0.9670373952288845
image023-roi1,0.7090366908482143,0.728069069826065,0.4091295417522487,0.2571733855708657,0.28450059101654845,0.9417521598272138
image023-roi2,0.6638706752232143,0.8131530424093424,0.38185491629786417,0.2359831143349783,0.24951279310995159,0.9591440560275957
image023-roi3,0.6646466936383929,0.8536286479371852,0.4944464161310252,0.32841502383488447,0.3480127303678484,0.9468207901853439
image023-roi4,0.7335030691964286,0.9047237255294982,0.6392691908223963,0.46979842486902823,0.49425119538635615,0.9523825424917354
image032-roi3,0.8041904994419643,0.5481872651569005,0.3246624364718973,0.19378926584096212,0.2306246261642314,0.9512609276746785
image032-roi4,0.7302333286830357,0.9195877642116319,0.47522770832979966,0.31167126457239475,0.3204034489856597,0.9827379694215458
image033-roi1,0.66693115234375,0.914814390467461,0.45536592668634235,0.29480505095259196,0.30312636434388107,0.9760188365829664
image033-roi2,0.7749459402901786,0.9410988483685221,0.5486877305869805,0.3780631792005012,0.3872257459463462,0.9867599671021586
image034-roi1,0.8235212053571429,0.6488835861598773,0.5301982266375749,0.3607277091690092,0.44821631804089324,0.9307229253309718
image034-roi2,0.7704119001116071,0.9185783704373376,0.5525363242416518,0.3817272471118625,0.39509563273142634,0.9804054880950762
image038-roi4,0.7568010602678571,0.5317853726410993,0.5681149546313214,0.396760170426282,0.6097723117832807,0.8090847842275096
image038-roi5,0.77655029296875,0.6363026041482633,0.5842674756257806,0.41269623009052364,0.5400995741107312,0.8734664273596735
image038-roi6,0.7777535574776786,0.5365666827930979,0.5108334772679294,0.3430331460384556,0.4874555909607003,0.8684556846140642
image039-roi1,0.7203194754464286,0.8496632836953428,0.5276550627319315,0.3583773403744599,0.3826406390158473,0.9532903073704064
image039-roi2,0.6980939592633929,0.8531800828527333,0.5482065267031145,0.3776064135749209,0.40384874175750235,0.9423178184487243
image039-roi3,0.6435459681919643,0.9279475103650928,0.530033223355214,0.36057496793568367,0.3709609938208033,0.9659333130328868
image061-roi2,0.8024815150669643,0.650451836185349,0.4725850387651044,0.3094018657398939,0.371105748135147,0.9375543851614381
image061-roi3,0.7555106026785714,0.8369276011763058,0.4602086782427906,0.2988773035281174,0.3173587510620221,0.9697626713751558
image061-roi4,0.76068115234375,0.5794437833311297,0.4892726223925867,0.32386559590087205,0.42338657735411567,0.8859103735233631
image061-roi5,0.8232770647321429,0.7438257401441939,0.48900766438079873,0.323633451244744,0.3642304514384436,0.9620721764211578
image062-roi1,0.8105643136160714,0.4854869816779171,0.4810338238104338,0.3166850133668816,0.47666161711797006,0.8859497242529177
image062-roi2,0.8206787109375,0.5671641791044776,0.5448993140075238,0.37447533304945557,0.5243164977429521,0.8969804618117229
