image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.67767333984375,0.7834394904458599,0.32087153013796776,0.19109409190371993,0.2017511435568082,0.966191423209434
image021-roi6,0.7005615234375,0.8160566298342542,0.5791834133908441,0.4076412246658042,0.448886947272451,0.9141360412637008
image023-roi1,0.6726946149553571,0.6692765769739745,0.24434334487478862,0.1391749031118857,0.1494533096926714,0.9595167386609071
image023-roi2,0.6470249720982143,0.81569995638901,0.31602068056635013,0.1876630412971064,0.1959724230422665,0.9684471456090313
image023-roi3,0.6437901088169643,0.8961499189140489,0.4221068564072822,0.267512954296882,0.2760713492709644,0.9714893476683596
image023-roi4,0.6789376395089286,0.9022741516698003,0.5226105896385418,0.3537392281095881,0.36783224440632184,0.9635522756870472
image032-roi3,0.7830461774553571,0.41233071988595865,0.21813725490196073,0.12242090784044017,0.14829530889515508,0.9458053066321948
image032-roi4,0.7295793805803571,0.8103844087334539,0.5168857872764658,0.34851381157441447,0.37945703634242844,0.945296977383217
image033-roi1,0.6668875558035714,0.8472202235333621,0.4804156239799804,0.31614935739089967,0.33526318786659326,0.9486348315512765
image033-roi2,0.7699846540178571,0.913784021071115,0.5420456912714394,0.371785101924176,0.3853007231175498,0.9801399506532379
image034-roi1,0.40871756417410715,0.20015582943759738,0.29413662811878716,0.17242683849552123,0.5544915819630313,0.3670788166847893
image034-roi2,0.7486921037946429,0.941724607555014,0.47689571309303413,0.31310772163965683,0.319294237733006,0.9889449422770972
image038-roi4,0.8016531808035714,0.6837833775862933,0.5454581784758021,0.3750034343489848,0.453681236496593,0.9253927165703344
image038-roi5,0.7795235770089286,0.7509032016942818,0.48809620212162924,0.32283548914062293,0.3615559954411853,0.9508396233373491
image038-roi6,0.8083932059151786,0.6759112519809826,0.4822955685914199,0.3177796404954829,0.37490385671904186,0.9438347542484408
image039-roi1,0.7065516880580357,0.8771266540642723,0.4764230930786104,0.3127003900586109,0.3270257571227201,0.9683935991512687
image039-roi2,0.720458984375,0.8498650117457313,0.601927040651618,0.43054050693618,0.46598227502547246,0.931674937371352
image039-roi3,0.67626953125,0.8974831574933265,0.6033841815151904,0.4320330426801285,0.45446060762100926,0.9386038367844093
image061-roi2,0.7686593191964286,0.5206707873138109,0.43652040946353476,0.2791980222228259,0.3757861635220126,0.8916762079230593
image061-roi3,0.7942592075892857,0.8085087719298245,0.609751256946282,0.4385914822745658,0.48943288020390824,0.9433163689239717
image061-roi4,0.7694266183035714,0.6029306647605432,0.5051276293135714,0.33790686029043565,0.43462578899909826,0.8937299727390119
image061-roi5,0.81121826171875,0.6856481827002016,0.45906308557151776,0.2979116674233089,0.34503868399308946,0.9521700620017715
image062-roi1,0.80279541015625,0.4673060920597381,0.4854744409309097,0.32054555832607323,0.5051126680552925,0.8700034201188491
image062-roi2,0.8406720842633929,0.6193465609677863,0.5966670345436486,0.42517852087199975,0.5755898134741504,0.9089204657588317
