image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.6712472098214286,0.804295682511993,0.2812535742880018,0.16363878352299194,0.17042461765928937,0.974860648161116
image021-roi6,0.6110055106026786,0.8681389168881151,0.29810732996648887,0.17516223861556382,0.17994985564503874,0.9768052869116699
image023-roi1,0.6954432896205357,0.7935490540680245,0.3053240786778306,0.18016664710714705,0.18902679275019701,0.973042656587473
image023-roi2,0.6409388950892857,0.7847131540001742,0.3044858802864478,0.17958321711758377,0.18888958739339076,0.9630713635073992
image023-roi3,0.63336181640625,0.8897264279680291,0.3943945962294586,0.24563606680899158,0.25334912293686623,0.9720170173471407
image023-roi4,0.7219063895089286,0.934601077962499,0.6069263002218388,0.43567422191552985,0.44937401905318103,0.9712325107690253
image032-roi3,0.7980433872767857,0.5174285714285715,0.23824245214760245,0.1352299880525687,0.1547466461591045,0.9629937994347187
image032-roi4,0.7272077287946429,0.8595132103833034,0.48728285807931826,0.32212423894438064,0.3400269880840747,0.9657577679137603
image033-roi1,0.6522042410714286,0.8855868346494665,0.4241663057600693,0.2691694607816193,0.2788671437520169,0.9693905526795362
image033-roi2,0.7414725167410714,0.8852889046437433,0.4571983011130638,0.2963428815530294,0.3081764110664133,0.978184955978913
image034-roi1,0.7931954520089286,0.5605883565880817,0.40749437921558834,0.2558825374913723,0.32008162944939367,0.9283352203302432
image034-roi2,0.7421962193080357,0.8428875991945991,0.49051401788637505,0.32495433789954337,0.3459061413954845,0.963924885438055
image038-roi4,0.76507568359375,0.5737974445697106,0.4755416269246491,0.3119413657490168,0.40601628718630545,0.8927579400257674
image038-roi5,0.7490321568080357,0.633140587582501,0.4296217030299428,0.27357847714711153,0.32511546997780577,0.9227866151992723
image038-roi6,0.7948085239955357,0.6146454202651745,0.4620413761572751,0.30042510181634413,0.370142475185877,0.9274932768781827
image039-roi1,0.6620134626116071,0.8373942895419911,0.3403726708074534,0.20508982035928144,0.21359617273931059,0.97138478766982
image039-roi2,0.65087890625,0.8600805724249895,0.41673464631161866,0.26321213013396144,0.27498702347309534,0.9628695888050295
image039-roi3,0.5837227957589286,0.870650607370805,0.4147256411513755,0.26161127178805077,0.2721903964984552,0.9521734165651644
image061-roi2,0.7807878766741071,0.5675957120980092,0.4243354017356261,0.2693056645450054,0.3388181951148164,0.91917792534921
image061-roi3,0.7342006138392857,0.7693173293323331,0.4022041808840256,0.2517243918603795,0.2722759133389975,0.960077378479435
image061-roi4,0.7761143275669643,0.63608283963745,0.49455719375602836,0.328512774915662,0.40454721112971787,0.9140681046439333
image061-roi5,0.7848074776785714,0.5705686103858427,0.3893205324887415,0.24171198574369374,0.2954630811988282,0.9327632804160705
image062-roi1,0.7958722795758929,0.4136264068283103,0.318714896836714,0.1895662408695953,0.2592312062109449,0.9170300542943868
image062-roi2,0.81683349609375,0.582626694264539,0.45378194960867413,0.29347862644200046,0.3716037816199642,0.9314628423568625
