image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9317278180803571,0.9195976331360947,0.9084595959595959,0.832272990167727,0.8975881347317839,0.9524243018402846
image021-roi6,0.8722011021205357,0.8365907681403384,0.865634425162491,0.7631000484887668,0.8967672086309072,0.8513539651837524
image023-roi1,0.9143240792410714,0.8623969861078409,0.8817256072606466,0.7884698183070696,0.9019405043341213,0.9211123110151188
image023-roi2,0.8812691824776786,0.8416412886680558,0.8605287146763901,0.7552,0.880283313425955,0.8819717174130542
image023-roi3,0.8605433872767857,0.8337719298245614,0.8559670040704587,0.7482013255876194,0.8793760639478944,0.8437603060484137
image023-roi4,0.84771728515625,0.8591329780069654,0.8364164286048799,0.7188279803590115,0.814870241267292,0.8777673890539954
image032-roi3,0.9265049525669643,0.7660685734588737,0.8364920176136255,0.7189396465488496,0.9211740579338631,0.9278718695909379
image032-roi4,0.8696637834821429,0.8671123472225766,0.8197168150131462,0.6945085937340336,0.7772339500949157,0.9266117099978863
image033-roi1,0.8470633370535714,0.8911422274659958,0.8202905678162333,0.6953327195984089,0.7598754769271654,0.9211379360394795
image033-roi2,0.9210205078125,0.8772754526921693,0.8898241175468898,0.8015163467437988,0.9027369875860707,0.9310089120791706
image034-roi1,0.9374215262276786,0.8322683706070287,0.8646487505893447,0.7615693830769742,0.8996507201444214,0.9482103422377167
image034-roi2,0.8983328683035714,0.8662890362972349,0.8567532371802747,0.749403597756238,0.847425085668457,0.9268163337458016
image038-roi4,0.8573346819196429,0.6717392936700624,0.766383962991519,0.62125,0.8920724613594815,0.844981856435351
image038-roi5,0.8756888253348214,0.7513631694017859,0.8000560970478928,0.6667445828755756,0.8554975706316358,0.8839647923684016
image038-roi6,0.8690970284598214,0.6587445104624128,0.772575098844167,0.6294275911435835,0.9339633007361828,0.8488298907135092
image039-roi1,0.8879568917410714,0.8774163444874017,0.860064468353879,0.7544851831330366,0.8433855879714665,0.9187074529219345
image039-roi2,0.8633946010044643,0.8567782968866554,0.8478326324070747,0.7358589179437898,0.8390718418978411,0.8835825182301223
image039-roi3,0.8464006696428571,0.8587495971640348,0.8581688190396444,0.7515724157382597,0.8575888259526262,0.8331683922046285
image061-roi2,0.85430908203125,0.6450917819054632,0.7389667400915467,0.5860009910802775,0.8648164399590463,0.8510190061827342
image061-roi3,0.9004167829241071,0.8574074578487184,0.8464444653589147,0.7337700179491363,0.8357582837723024,0.9320341711674284
image061-roi4,0.8585553850446429,0.7271613258991484,0.7453135303168272,0.5940237249111567,0.7643952080381295,0.8935147544119757
image061-roi5,0.8742850167410714,0.7004202784344629,0.7474159980379105,0.5966993006993007,0.8011717869751371,0.896391178942109
image062-roi1,0.8548060825892857,0.5670706101145839,0.6942455289926921,0.531681525438029,0.8949536072713501,0.8457419520328331
image062-roi2,0.8560093470982143,0.6000861821315714,0.716702120359569,0.5584846135336737,0.8895749936121284,0.8473674977523409
