image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.91064453125,0.8918168880455408,0.8800646022049013,0.7858172926202269,0.8686180289239015,0.9361222374723397
image021-roi6,0.8560442243303571,0.7829825220823153,0.8582832618025751,0.7517479888730171,0.9496087220787114,0.7766441005802708
image023-roi1,0.9079328264508929,0.8347182926014214,0.8764957015030119,0.7801445020509297,0.9226753349093775,0.8998515118790497
image023-roi2,0.8688180106026786,0.7865109427609428,0.8563654589717886,0.7488104182319059,0.9398378072546677,0.8182089685964729
image023-roi3,0.8251517159598214,0.7569042400423248,0.8331683291874308,0.714043293500271,0.9265228332469839,0.7348130070575819
image023-roi4,0.8440726143973214,0.8125772741899971,0.8429069634653056,0.7284694807166717,0.8755885680913968,0.8152402577887602
image032-roi3,0.8733956473214286,0.6393226716839134,0.7374131944444443,0.5840495015469234,0.8710587028966932,0.8739948730308276
image032-roi4,0.8665422712053571,0.8030758729549284,0.831067061056907,0.7109621376640544,0.8610799807881435,0.869907700979356
image033-roi1,0.8663242885044643,0.8681398832991641,0.8517440454892707,0.7417719386895738,0.8359560372809931,0.8921250826519587
image033-roi2,0.8787493024553571,0.7831109976383481,0.8411106032906763,0.7257902313016387,0.908388657173178,0.8625571330340169
image034-roi1,0.9065377371651786,0.7204336399474376,0.8182141948613585,0.6923540554503186,0.9467053883285586,0.8950642886768976
image034-roi2,0.8771885463169643,0.8188866892911011,0.8314768063748071,0.7115620904325033,0.8444601064476146,0.8955004691260657
image038-roi4,0.8470807756696429,0.6373568629168218,0.7684996964017001,0.6240353284170811,0.9675918231676915,0.8042268004680685
image038-roi5,0.8735874720982143,0.7225318847425602,0.8084352950503422,0.6784652916389443,0.9175214444244496,0.8555798687089715
image038-roi6,0.8051234654017857,0.551765222298865,0.7025710635579688,0.5415102467844175,0.9668168333150203,0.7546031927676374
image039-roi1,0.8564714704241071,0.8018292076747191,0.830503413408569,0.710137526633679,0.8613045149715945,0.8531370642147762
image039-roi2,0.8344813755580357,0.7641705585055338,0.8342689517290751,0.7156616039064139,0.9185266355230021,0.7647237159132613
image039-roi3,0.8338535853794643,0.8074316128940197,0.8558874023430115,0.7480796943375772,0.9105303810504635,0.7431676309378806
image061-roi2,0.7846330915178571,0.5292532037118869,0.6598171000440723,0.49233362107945905,0.8758958607576423,0.756056789558049
image061-roi3,0.8726109095982143,0.7350817799893952,0.8314840019377611,0.7115726299996051,0.9569881053525914,0.8313512671375156
image061-roi4,0.8022896902901786,0.585547680807173,0.7166085511104445,0.5583709878466812,0.9232577611748035,0.7573772059878521
image061-roi5,0.8226667131696429,0.5807935447396824,0.6896856881293867,0.5263513356156408,0.8488319687523473,0.8147555131611819
image062-roi1,0.8446742466517857,0.5464027364997477,0.6863180137348126,0.5224384751487856,0.9225525468661239,0.827091616433671
image062-roi2,0.7954799107142857,0.5002964517011766,0.6516470133959069,0.4832911113558762,0.9342900945404992,0.7597416836611627
