image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7358834402901786,0.8088018630293237,0.5291090832776284,0.35972013781732864,0.3931525204454096,0.9436570404190359
image021-roi6,0.7555716378348214,0.7994015617777994,0.7009972801450589,0.53964265773311,0.6241642607506458,0.8670857511283043
image023-roi1,0.7263357979910714,0.679766081871345,0.5263062573576021,0.35713407889885707,0.42937352245862886,0.8891198704103672
image023-roi2,0.73919677734375,0.8294243859129921,0.5998689015825452,0.42843766720171217,0.46983508308711047,0.9311451909149282
image023-roi3,0.7568708147321429,0.8450276971775257,0.696761424190356,0.5346384285452027,0.5927577529420472,0.9031231449112855
image023-roi4,0.8009381975446429,0.8456165390770295,0.7740409359040341,0.6313758416353156,0.7136365295470307,0.8808060907603432
image032-roi3,0.7867170061383929,0.47393130714109216,0.4394949703260696,0.28163636897594785,0.4097240023925489,0.8833833614513267
image032-roi4,0.8241053989955357,0.8787878787878788,0.7303399323610795,0.5752247794318923,0.6247970175879972,0.9469034030860283
image033-roi1,0.7493198939732143,0.87626175277507,0.659690821713501,0.49219301964109086,0.5289573090867675,0.9365394229683746
image033-roi2,0.8312029157366071,0.9060796806632379,0.7092064350412329,0.5494344365312107,0.5826155630691774,0.9670077795305316
image034-roi1,0.30704171316964285,0.21298334024388949,0.33516814455412414,0.20132252002371692,0.7861936344727444,0.17017722824442028
image034-roi2,0.8255615234375,0.8721351874669953,0.7123590982286634,0.5532280756604658,0.6020609035895691,0.9506125834568472
image038-roi4,0.7329014369419643,0.4943630678077683,0.6107277648583737,0.4396026562757258,0.7987369120824331,0.7094902072030542
image038-roi5,0.7701328822544643,0.6005474715458867,0.6125766014666334,0.44152102531511495,0.6250974746565893,0.8295798195363018
image038-roi6,0.78277587890625,0.5347081033981993,0.5964395056128813,0.42494748747778316,0.6742848771197304,0.8166733421067689
image039-roi1,0.7737165178571429,0.8519392917369308,0.660633957526938,0.49324377099117395,0.5394899833411644,0.9353137064214776
image039-roi2,0.80914306640625,0.7939431782703715,0.7880307945576914,0.6502069450437061,0.7822058173289501,0.8315010132278087
image039-roi3,0.8138340541294643,0.8721242086442502,0.8174426061305631,0.6912498373172531,0.7692134397528322,0.8666070341047503
image061-roi2,0.68768310546875,0.4188337197938026,0.549622159912487,0.378951018638925,0.7991809273072985,0.6527707808564231
image061-roi3,0.8411952427455357,0.7449069527334995,0.7646138933764135,0.6189270619743064,0.7853918861512319,0.8684825508932281
image061-roi4,0.6734444754464286,0.44477426480740023,0.5791720976223651,0.407630013918765,0.8299626433079995,0.6153331101439572
image061-roi5,0.7720598493303571,0.5065710872162486,0.5880165159012829,0.41644716281976873,0.7006685194922256,0.7936453862051737
image062-roi1,0.7235456194196429,0.389142641635937,0.539505025271597,0.36939875494739355,0.8792368869532285,0.6883951092300458
image062-roi2,0.7313494001116071,0.42287373981857596,0.5660116909641524,0.3947115101271045,0.8556341027169747,0.6993509198956209
