image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.935791015625,0.9124603867174942,0.9151925557398195,0.8436451653998046,0.9179411357020746,0.9466121397159744
image021-roi6,0.887939453125,0.8858295198945164,0.8766839378238342,0.7804428044280443,0.8677252697158486,0.9050934880722115
image023-roi1,0.9206194196428571,0.8786902586787191,0.8892511313318088,0.8005870241380821,0.9000689519306541,0.9318844492440604
image023-roi2,0.8726545061383929,0.8646494009866103,0.8431745213628409,0.7288692520467076,0.8227405125626035,0.9082234533426912
image023-roi3,0.8519374302455357,0.8626019918993484,0.8385084307329459,0.7219238201290407,0.8157242247057953,0.8842094848624761
image023-roi4,0.8280988420758929,0.8947048630645633,0.8013221674678277,0.6685050358986431,0.7255903931087345,0.9218786522857048
image032-roi3,0.9092668805803571,0.732275586049171,0.7975092430433938,0.6632144475370574,0.8755020080321285,0.9179246729913894
image032-roi4,0.9034859793526786,0.8950016935210723,0.8698637384342266,0.7696981045710838,0.846099307000892,0.9388430916649052
image033-roi1,0.9018903459821429,0.9181959501746311,0.8899172324730468,0.8016674598558159,0.8633283346937226,0.9346525392294418
image033-roi2,0.9152657645089286,0.8892849017972245,0.8786463536463537,0.7835586538675694,0.8682593351267307,0.9409456781134976
image034-roi1,0.9461757114955357,0.8414444365848482,0.8851641707748117,0.7939861166733413,0.9336760723676465,0.9497460961583732
image034-roi2,0.9087088448660714,0.8654373049341243,0.8740375360923964,0.7762581472379527,0.8828104114516246,0.9231993037897227
image038-roi4,0.88580322265625,0.7323049994530139,0.8034929256252907,0.6715321144634213,0.8900116337045039,0.8843067030719951
image038-roi5,0.8788016183035714,0.7661683368928317,0.801042024504752,0.6681151807459051,0.8392417971327455,0.8950163499127185
image038-roi6,0.8590436662946429,0.6471085515018624,0.7518877770274418,0.6024200093455645,0.8971541588836391,0.8471362361961435
image039-roi1,0.887939453125,0.8664983600897636,0.862052680162291,0.7575506046143108,0.8576523856306865,0.9088350573188342
image039-roi2,0.8424769810267857,0.8836011117890312,0.8123402929261451,0.6839840470193115,0.7517157852240614,0.9178088749182237
image039-roi3,0.8197370256696429,0.866822347238439,0.8257857925339176,0.703266735560914,0.7884590628218332,0.8567295980511571
image061-roi2,0.8419712611607143,0.6342414716497846,0.7062751199273953,0.5459237360324698,0.796767588123446,0.8561254866040761
image061-roi3,0.8782871791294643,0.7731935000576236,0.8277708546681637,0.7061510609632873,0.8906382752761257,0.8722476111341919
image061-roi4,0.7918788364955357,0.5787178082191781,0.688707174250427,0.5252123406202136,0.8503155996393147,0.7701826964465063
image061-roi5,0.8292759486607143,0.6017913897717423,0.6802534456855445,0.5154424866363096,0.7822429204536919,0.8434966273761668
image062-roi1,0.8480660574776786,0.555462260473206,0.680105010005324,0.5152720596417046,0.8768699110017042,0.8415629943140525
image062-roi2,0.8339669363839286,0.5655215158491235,0.6680496478627711,0.501557469308693,0.8159867132271527,0.8385961449904612
