image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9149693080357143,0.9088913817490123,0.8843069330422815,0.792607715537408,0.8610174190269371,0.9476765356712697
image021-roi6,0.86639404296875,0.8850558111704872,0.848459674627899,0.7368041361067693,0.8147697918249506,0.9102030947775629
image023-roi1,0.9039829799107143,0.9150445952768272,0.8556030526343394,0.7476453468386919,0.8034131205673759,0.9591117710583154
image023-roi2,0.8584333147321429,0.9146800832389432,0.8105130479436068,0.6813971742543171,0.7276461096791769,0.9516328938133708
image023-roi3,0.8228846958705357,0.9159083623091909,0.7852634917278926,0.6464475928568942,0.687236325956628,0.9437701998548909
image023-roi4,0.8164236886160714,0.9273482622352822,0.7766627771295216,0.6348721861884776,0.6681023469722962,0.9521154038801883
image032-roi3,0.8902936662946429,0.682455667183602,0.7629079671365041,0.6166945925361766,0.8648637101597881,0.8968142678731842
image032-roi4,0.8919503348214286,0.9099306555017663,0.84876369938246,0.7372628008056822,0.7953022436703794,0.9514972169379271
image033-roi1,0.8764561244419643,0.9198499912785627,0.8562179714851084,0.7485849140302003,0.8008200299918377,0.9407163707323367
image033-roi2,0.9150303431919643,0.9163599956705271,0.8742174895127459,0.7765420775051594,0.835780744835756,0.9583249066321509
image034-roi1,0.9278651646205357,0.7901267871594281,0.849955565228431,0.7390632392367135,0.9195871433617205,0.9302296904951405
image034-roi2,0.9115862165178571,0.9046326503980164,0.872391835090987,0.7736657663891431,0.8423700391280045,0.950313430603337
image038-roi4,0.8567330496651786,0.677177410983079,0.7605403908652374,0.6136064340137334,0.8673092903440253,0.8529721168280084
image038-roi5,0.8614153180803571,0.7718942841114504,0.7570764810173014,0.6091094660731413,0.7428168676144202,0.9100263073783591
image038-roi6,0.8448660714285714,0.6254319098989792,0.7271835132482827,0.5713184271395528,0.8684759916492694,0.8374892716141215
image039-roi1,0.88079833984375,0.8982676181551695,0.8454223719767979,0.7322351927295518,0.7984494468412284,0.9376123537559308
image039-roi2,0.8398263113839286,0.8877543964782078,0.8074504213659804,0.6770791217677149,0.7404694619066844,0.9222926074260822
image039-roi3,0.8152117047991071,0.8954249628242019,0.8139741057713408,0.6863038233247976,0.7461058187435633,0.8969435140073082
image061-roi2,0.8273838588169643,0.6175545661176324,0.6670814764987807,0.5004668062880069,0.7252449904929062,0.8593656972750172
image061-roi3,0.8231637137276786,0.7404354200669452,0.7252381016894044,0.5689204412608668,0.7106520815632965,0.8781808267552971
image061-roi4,0.7735072544642857,0.5650902749281904,0.6291473930672149,0.45894605290564466,0.7095839237408218,0.7972404227844468
image061-roi5,0.8279331752232143,0.6240996830884471,0.6372026326433062,0.46756960932441183,0.6508675730488995,0.8814698734982171
image062-roi1,0.84796142578125,0.5568332459845239,0.6744459588133157,0.5088030648750669,0.8550463927286499,0.8463618485742379
image062-roi2,0.8451014927455357,0.5994503009428382,0.6598372426998563,0.4923560508644092,0.7337535133293587,0.8737692695655987
