image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9218401227678571,0.8995762317220826,0.8960502817914049,0.8116767158973928,0.8925518643441297,0.9395955295369878
image021-roi6,0.8539603097098214,0.8407334991172953,0.840980945056823,0.725597168976703,0.8412285366965506,0.8647646679561574
image023-roi1,0.9120744977678571,0.8859888720283258,0.8741827618905027,0.7764872772408902,0.8626871552403468,0.93914686825054
image023-roi2,0.8662806919642857,0.8618840093865237,0.8341444422814873,0.715478377024545,0.8081347834286792,0.9077157405886481
image023-roi3,0.8307146344866071,0.8537542139135764,0.8114847216693046,0.682771804842979,0.773203315816742,0.8819668887276565
image023-roi4,0.8387799944196429,0.8990152114657523,0.8156273059051115,0.6886576412743315,0.7463955907581122,0.9232978261595486
image032-roi3,0.9090053013392857,0.7308486401822583,0.7973513534506195,0.6629960926147189,0.8771682474579168,0.9171687736903223
image032-roi4,0.9164515904017857,0.9338229688175049,0.8846542758089369,0.7931659723271526,0.8404043638359674,0.9633058549989432
image033-roi1,0.8869716099330357,0.9181018148132553,0.8706016230946605,0.7708543246539746,0.8277747195383535,0.9372651474833487
image033-roi2,0.9123796735491071,0.8826735657590676,0.8749050802305461,0.7776277937596814,0.8672721439324761,0.9370222060429559
image034-roi1,0.9425920758928571,0.8371694679370517,0.8769437799043063,0.7808547463719877,0.9206860013343275,0.9488493055477709
image034-roi2,0.91619873046875,0.8749286665398516,0.8844873381969399,0.7928976232033961,0.8942571754927455,0.9284752722970859
image038-roi4,0.8475516183035714,0.6507188479295745,0.7567883374137548,0.6087365170299422,0.9041715140435433,0.8274174674656927
image038-roi5,0.8644757952008929,0.7290085175368621,0.784731936346135,0.6457274405670914,0.849679083438306,0.870540653504782
image038-roi6,0.8440464564732143,0.6136083966702859,0.739832431488916,0.5870905187339843,0.9314361059224261,0.8167420037763918
image039-roi1,0.8903982979910714,0.8760980323260716,0.8638991749496525,0.7604071363220494,0.8520353679894067,0.9168655880706097
image039-roi2,0.83544921875,0.8541208145473194,0.8090187823834196,0.6792876079124465,0.7684410865678528,0.8910660433055161
image039-roi3,0.8165283203125,0.889311964840494,0.816917829673198,0.6904996543456837,0.7554228887744593,0.8887979598051157
image061-roi2,0.8351963588169643,0.6417329440585254,0.6692564789052793,0.5029192089206816,0.6992467456486763,0.8777650561025876
image061-roi3,0.8522164481026786,0.7661980518646072,0.778655661917386,0.6375398302003806,0.7915250637213254,0.8818939551308683
image061-roi4,0.7642299107142857,0.545278078728783,0.6411699134773609,0.4718543693113012,0.7779853149555584,0.7591228657515903
image061-roi5,0.83905029296875,0.6308017553412986,0.6808885815541534,0.516172153491298,0.739615413505596,0.8691149417455883
image062-roi1,0.75616455078125,0.42339134135143003,0.574825536314293,0.40333696046427275,0.8949062677523196,0.7248407507160873
image062-roi2,0.8265119280133929,0.5493815256618639,0.6671684983523193,0.5005647732121791,0.8492462311557789,0.8206587285924172
