image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.92156982421875,0.8920674121332693,0.8966293942562948,0.8126275882181394,0.9012382756549462,0.9338954090921823
image021-roi6,0.86541748046875,0.8400994351934782,0.8562273535959462,0.7485992572806046,0.8729866281720103,0.8589941972920696
image023-roi1,0.9022652762276786,0.8804710754497218,0.858549020102722,0.7521558395613143,0.8376920803782506,0.9376619870410368
image023-roi2,0.8677106584821429,0.8577520828295707,0.8372312577779686,0.7200324771183939,0.8176693698790889,0.9033703167231621
image023-roi3,0.8476649693080357,0.8350464464354422,0.839159294072158,0.7228892730819865,0.8433128561912516,0.8515434338104346
image023-roi4,0.83441162109375,0.8982093204315427,0.8096121264373578,0.6801246420751221,0.7369237507756323,0.923598357097539
image032-roi3,0.9167829241071429,0.7688726821320506,0.805953155497723,0.6749761612859283,0.8467914210031616,0.9347297386122128
image032-roi4,0.8850010463169643,0.9259052613959716,0.8342444922017369,0.7156256064166973,0.7590970427463806,0.9625730994152046
image033-roi1,0.9075927734375,0.9274208291860488,0.8960062800510253,0.8116045081238668,0.8666502154476946,0.9423774735110552
image033-roi2,0.90301513671875,0.8973076715142996,0.856501490072633,0.7490184575116206,0.8192452923319924,0.9487791395326889
image034-roi1,0.9223458426339286,0.7700478998989866,0.8414456115364073,0.7262892617862192,0.9274361288803422,0.920891858262244
image034-roi2,0.91973876953125,0.8965191916182531,0.886951182069389,0.7968663797859429,0.8775852431525992,0.9433241321167783
image038-roi4,0.85400390625,0.666292723057363,0.7614746858884869,0.6148236755538175,0.8883829150739572,0.841778660331194
image038-roi5,0.8716866629464286,0.7707739722044543,0.782744773827802,0.643040799495464,0.7950932757483055,0.9030806677648563
image038-roi6,0.8505423409598214,0.6251477832512315,0.7475663814559003,0.5968910211184798,0.9296048053327474,0.8258396750014304
image039-roi1,0.8924734933035714,0.8866765325799363,0.8651061036972216,0.7622792813632508,0.8445602494553842,0.9255297203312409
image039-roi2,0.8303920200892857,0.8402323589025639,0.8052345955904439,0.6739687913782412,0.7730357383163197,0.8779977980246046
image039-roi3,0.8256574358258929,0.821851280563234,0.843327613361228,0.7290980774702273,0.8659564881565397,0.7779955846528623
image061-roi2,0.79083251953125,0.5405118556576693,0.6513480124990917,0.48296226049098,0.8193652186631564,0.78189832837188
image061-roi3,0.8386753627232143,0.7178589294647324,0.7733764483966586,0.6304920913884007,0.8382009345794392,0.8389073535521396
image061-roi4,0.7856183733258929,0.5723364736948106,0.6753720012146979,0.5098578633654287,0.8236506505217055,0.771497919556172
image061-roi5,0.80914306640625,0.5657679171410324,0.6505531697504751,0.4820887753170547,0.7652294749492977,0.8224205673275646
image062-roi1,0.8013916015625,0.4794901046575071,0.6293005240373662,0.4591090425531915,0.915262260935429,0.7756829549826857
image062-roi2,0.8407331194196429,0.5767284495439835,0.6821756681514477,0.5176529615252581,0.8348096414274764,0.842258184768546
