image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9094412667410714,0.9353464246017044,0.8718916518650089,0.7728793544577839,0.8164995610590029,0.9657852721212291
image021-roi6,0.8611275809151786,0.826809775546893,0.8536511407804905,0.7446695950495367,0.8822937243580004,0.8431656995486783
image023-roi1,0.8507341657366071,0.8058383896252702,0.7833284815653913,0.6438290612516645,0.7620419621749409,0.8993520518358531
image023-roi2,0.8935023716517857,0.8306975877805719,0.879553478097943,0.7850026403802147,0.9345152029504831,0.8642764346618483
image023-roi3,0.8515799386160714,0.854141955232447,0.8398893842767651,0.723973535707336,0.8261046554659167,0.874282699030407
image023-roi4,0.8267299107142857,0.8953135612406611,0.7991997089850855,0.6655558921538928,0.7217213563528854,0.9227969412628978
image032-roi3,0.42347935267857145,0.20892165948863325,0.31678687304966,0.1882036611867549,0.6549175425104674,0.3641353169299533
image032-roi4,0.49893624441964285,0.40751557894453494,0.5130907796851435,0.3450720277169949,0.69249594035176,0.3796801240047911
image033-roi1,0.4921962193080357,0.46273899868601004,0.5423728813559322,0.37209302325581395,0.6551128490347564,0.35378263744415955
image033-roi2,0.4913853236607143,0.3792519081899649,0.48956947847392374,0.3241257849975668,0.6903921617019176,0.3826666127357791
image034-roi1,0.46663992745535715,0.2585873344426857,0.38459526348618683,0.23807981665088934,0.7501275460146776,0.38566480208952214
image034-roi2,0.4079502650669643,0.3169940899638831,0.4056441094859204,0.25442507027406885,0.5631273239847376,0.3211269903863151
image038-roi4,0.8569510323660714,0.6731036926425552,0.764268061382838,0.6184739889770006,0.8839953465181984,0.8473340188882191
image038-roi5,0.8674839564732143,0.7395943376294105,0.786562930090161,0.6482107309846766,0.8399016255773499,0.8787893688687828
image038-roi6,0.8727155412946429,0.6733335152391607,0.7717350512884665,0.6283131763208147,0.9038200930300699,0.862997081879041
image039-roi1,0.8812430245535714,0.8733246379418907,0.8508051265198816,0.7403488704603947,0.8294177950536072,0.9169982023399051
image039-roi2,0.8504289899553571,0.8535586069813196,0.8306948282668772,0.7104174755642588,0.8090239729319261,0.884795200331892
image039-roi3,0.8287615094866071,0.8661383409423723,0.8365990232051186,0.7190977486626426,0.8090081101956745,0.852123934226553
image061-roi2,0.8571254185267857,0.6625927024621774,0.7316322185463002,0.576829709209235,0.8167324850080445,0.8697732997481108
image061-roi3,0.8833966936383929,0.7789952449865619,0.8353017968644162,0.7171830390187163,0.9003823279524215,0.8750908807644371
image061-roi4,0.8246634347098214,0.639029348240376,0.714389194256253,0.5556807636219011,0.8098995233801366,0.8301449136735377
image061-roi5,0.8271484375,0.5897030120799704,0.6928416485900217,0.5300365084633256,0.8397055509652219,0.8233517294633327
image062-roi1,0.8124476841517857,0.49508054649265903,0.6436145536483531,0.4745071213934967,0.9194754781291422,0.788283955367449
image062-roi2,0.8513619559151786,0.5906057278026527,0.7110335124506297,0.5516307206733299,0.8931522016863981,0.8406025919347412
