image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7622942243303571,0.9517365809652684,0.553243092655108,0.3824022472928277,0.38996442267707804,0.988011540292989
image021-roi6,0.7401210239955357,0.8939127435764787,0.6349350219859633,0.46513172062307084,0.4923074000911716,0.9504190844616377
image023-roi1,0.6388201032366071,0.3831373673644967,0.06059643950561287,0.03124488411796347,0.03289992119779354,0.9709638228941685
image023-roi2,0.8061872209821429,0.9354948922067716,0.7112871801532666,0.5519361406196456,0.5737725529641039,0.9718070094225514
image023-roi3,0.7539934430803571,0.9288702928870293,0.6647496375864445,0.4978464386146015,0.5175782695581378,0.9646791108765913
image023-roi4,0.7357177734375,0.9464950032825151,0.6313190288522357,0.4612609089777999,0.47361024929736834,0.9755067285537783
image032-roi3,0.20408412388392858,0.20408412388392858,0.33898648746506005,0.20408412388392858,1.0,0.0
image032-roi4,0.3812343052455357,0.3812343052455357,0.5520197461034904,0.3812343052455357,1.0,0.0
image033-roi1,0.4593418666294643,0.4593418666294643,0.6295192060656394,0.4593418666294643,1.0,0.0
image033-roi2,0.35329764229910715,0.35329764229910715,0.5221285122449374,0.35329764229910715,1.0,0.0
image034-roi1,0.22217668805803573,0.22217668805803573,0.36357539826923213,0.22217668805803573,1.0,0.0
image034-roi2,0.3587733677455357,0.3587733677455357,0.528084191612924,0.3587733677455357,1.0,0.0
image038-roi4,0.8419276646205357,0.7634640810929925,0.6564850781620085,0.4886325172063635,0.5758018946318764,0.936562533243502
image038-roi5,0.7844499860491071,0.7288801571709234,0.5261907043603258,0.3570276737411569,0.4117029572311199,0.9372310869618666
image038-roi6,0.8279680524553571,0.6536666531390771,0.6201678730941013,0.4494516840137288,0.5899351719591254,0.9023402185729816
image039-roi1,0.7607683454241071,0.8501499223293956,0.6317329503509926,0.4617029625269767,0.502605612746145,0.9388795567736422
image039-roi2,0.80584716796875,0.8264782055221457,0.7718054089506964,0.6284064549505198,0.7239171809216218,0.8738491487290773
image039-roi3,0.79205322265625,0.88246809020634,0.78745532809896,0.6494237666843065,0.7109133625128733,0.8880176613885505
image061-roi2,0.8593314034598214,0.7424864864864865,0.6803637588413607,0.5155691679428279,0.6278338452537663,0.9318181818181818
image061-roi3,0.8585989815848214,0.8713509021020189,0.7562855983528952,0.6080862273133715,0.6680649957519117,0.9517682800166182
image061-roi4,0.8028477260044643,0.6372029517896037,0.6342031611473314,0.4643466312896807,0.6312314826742239,0.8665646372375532
image061-roi5,0.8550153459821429,0.7638551673176396,0.6351268322654262,0.46533762057877814,0.5435288815443552,0.9491948854216348
image062-roi1,0.8539515904017857,0.5787143679815722,0.6575202420871841,0.48978037710560784,0.7611721264911948,0.8748984652216665
image062-roi2,0.8818097795758929,0.7106480499087553,0.7118716122861092,0.5526402640264027,0.7130993952814922,0.9252461460868803
