image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.6989222935267857,0.9569937369519833,0.34683917829985245,0.20980365234106824,0.21180058217437508,0.9942298535055041
image021-roi6,0.6400408063616071,0.908313573327585,0.37980920904379173,0.23442252058452637,0.24010408752469228,0.9794326241134752
image023-roi1,0.6880057198660714,0.6482004667731237,0.37103181578484795,0.2277710635359116,0.25989952718676124,0.9226781857451404
image023-roi2,0.6975446428571429,0.9466721502501885,0.44329963087786867,0.2847687581187241,0.2894113702562813,0.9883823375692505
image023-roi3,0.6637311662946429,0.9411697639949834,0.4612633755203532,0.29976759387028834,0.30549182147879506,0.9829826528593101
image023-roi4,0.7052786690848214,0.9629923691059062,0.5636610081972504,0.39242895403807093,0.398437785158959,0.9859919190570007
image032-roi3,0.7959158761160714,0.0,0.0,0.0,0.0,1.0
image032-roi4,0.6187656947544643,0.0,0.0,0.0,0.0,1.0
image033-roi1,0.5406581333705357,0.0,0.0,0.0,0.0,1.0
image033-roi2,0.6467023577008929,0.0,0.0,0.0,0.0,1.0
image034-roi1,0.7778233119419643,0.0,0.0,0.0,0.0,1.0
image034-roi2,0.6412266322544643,0.0,0.0,0.0,0.0,1.0
image038-roi4,0.8119768415178571,0.7038419214391656,0.5770603695131997,0.4055410062026189,0.48898121987701515,0.9268347458127962
image038-roi5,0.7823573521205357,0.7151512039841865,0.5274238436926107,0.35816405245564414,0.4177613820406694,0.9317975069456396
image038-roi6,0.8194318498883929,0.6692852741836106,0.5573013531712949,0.3862908961593172,0.47742006372926055,0.9262916976597815
image039-roi1,0.7277308872767857,0.8503144654088051,0.5479864508844562,0.3773976153447382,0.4042544103199351,0.9509032505230897
image039-roi2,0.6790858677455357,0.8033421073622079,0.5225772139419648,0.35370864648451217,0.38723878731953015,0.9213192704759777
image039-roi3,0.6095493861607143,0.860458357552105,0.48069117476516293,0.3163880619800015,0.333499613800206,0.9360345615103532
image061-roi2,0.8210623604910714,0.758443131909738,0.49395867238743413,0.32798480581570505,0.36624250402223196,0.9634760705289672
image061-roi3,0.7724870954241071,0.922762148337596,0.4918498899686459,0.326127940910617,0.3352803738317757,0.9862770045700041
image061-roi4,0.7935267857142857,0.7185980310757917,0.5057811913010811,0.3384920524066263,0.39021641118124434,0.9432660576785117
image061-roi5,0.8400966099330357,0.861782938967956,0.5183959662806271,0.34988833351058174,0.3706903027116352,0.9820240285253571
image062-roi1,0.8374982561383929,0.5835966386554622,0.4822911747548543,0.31777582546306465,0.4109543647036546,0.9337993245265273
image062-roi2,0.8303920200892857,0.6984830575256107,0.4216566569542724,0.2671514146856045,0.3019759816029299,0.9664386114948578
