image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7065952845982143,0.9497759522031367,0.3768287714359791,0.2321558963125228,0.23504135286235733,0.9924651970533038
image021-roi6,0.6843697684151786,0.9356889336229274,0.4938972387277176,0.3279306375552338,0.33549232639416504,0.9804319793681496
image023-roi1,0.7000034877232143,0.7968032159264931,0.3261125039172673,0.19482343029650606,0.20500886524822695,0.9713417926565875
image023-roi2,0.7518572126116071,0.9513120899718838,0.5879150316386962,0.41634536505332237,0.42541019676871816,0.9844848955455672
image023-roi3,0.6874128069196429,0.9341828942344407,0.5219745053069497,0.35315663172329176,0.3621678632225594,0.9772607347800277
image023-roi4,0.6545671735491071,0.9420399603891186,0.4494656828004058,0.28987793292584557,0.29514180384713656,0.9833873175944168
image032-roi3,0.7959158761160714,0.0,0.0,0.0,0.0,1.0
image032-roi4,0.6187656947544643,0.0,0.0,0.0,0.0,1.0
image033-roi1,0.5406581333705357,0.0,0.0,0.0,0.0,1.0
image033-roi2,0.6467023577008929,0.0,0.0,0.0,0.0,1.0
image034-roi1,0.7778233119419643,0.0,0.0,0.0,0.0,1.0
image034-roi2,0.6412266322544643,0.0,0.0,0.0,0.0,1.0
image038-roi4,0.8093348911830357,0.8362520458265139,0.48311074341094434,0.31848781399987536,0.3396709323583181,0.976348356441261
image038-roi5,0.7635236467633929,0.7586694386694387,0.4021866114135826,0.2517106279660082,0.27361885909663486,0.9643252280382564
image038-roi6,0.8147147042410714,0.693028892148734,0.5056069982783492,0.33833603188441896,0.39797824414899463,0.9449218973508039
image039-roi1,0.6966291155133929,0.8886089035342767,0.4415159151832293,0.28329831500020597,0.29372944342403146,0.9745969999705302
image039-roi2,0.7243565150669643,0.8827568094845052,0.5981619656544342,0.4266983424612818,0.4523328911701944,0.950136426736449
image039-roi3,0.6605747767857143,0.9072410889699691,0.5705586444267937,0.3991479903685868,0.4161302780638517,0.9496802679658952
image061-roi2,0.8262939453125,0.8107112970711297,0.49305308158175987,0.3271867612293144,0.35424893959338893,0.9741012136478131
image061-roi3,0.7826276506696429,0.9024652338811631,0.5338792910029169,0.3641441579309817,0.3790622344944775,0.9799672829248026
image061-roi4,0.78997802734375,0.7756669041399509,0.4486208080576857,0.2891754706958626,0.3155674352698699,0.966115070065522
image061-roi5,0.8182198660714286,0.7851362021318594,0.43283094836498176,0.27618650834982467,0.2987681213851123,0.9752787808589403
image062-roi1,0.85955810546875,0.6611835764312793,0.5609616485403549,0.3898170246618934,0.4871236508237076,0.9436428540891796
image062-roi2,0.87042236328125,0.8211757693167424,0.5972956128228057,0.42581717023413956,0.4693382165062601,0.9736859417143608
