image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7514125279017857,0.9528070605540574,0.5216603469682226,0.3528690757218086,0.35914614424987296,0.9892159883476653
image021-roi6,0.6547502790178571,0.9202189311010947,0.4192261433306932,0.2652031102121105,0.27144430937547487,0.9800290135396519
image023-roi1,0.6387677873883929,0.39026998128842555,0.06584139439446211,0.034041362587143555,0.03595350669818755,0.9692089632829374
image023-roi2,0.6925571986607143,0.8466974570140783,0.4632527552822262,0.30145019415167607,0.31885333500974417,0.9588603341944539
image023-roi3,0.6876220703125,0.9103153153153153,0.5301138450238706,0.36064959400374763,0.37393605210569164,0.9671690521733395
image023-roi4,0.7553798130580357,0.9373548365991691,0.6713447278094725,0.5052813486395458,0.5229404679344454,0.9680268474304605
image032-roi3,0.20408412388392858,0.20408412388392858,0.33898648746506005,0.20408412388392858,1.0,0.0
image032-roi4,0.3812343052455357,0.3812343052455357,0.5520197461034904,0.3812343052455357,1.0,0.0
image033-roi1,0.4593418666294643,0.4593418666294643,0.6295192060656394,0.4593418666294643,1.0,0.0
image033-roi2,0.35329764229910715,0.35329764229910715,0.5221285122449374,0.35329764229910715,1.0,0.0
image034-roi1,0.22217668805803573,0.22217668805803573,0.36357539826923213,0.22217668805803573,1.0,0.0
image034-roi2,0.3587733677455357,0.3587733677455357,0.528084191612924,0.3587733677455357,1.0,0.0
image038-roi4,0.78875732421875,0.6479442367915951,0.5143235170298498,0.34618809877209555,0.426391889646003,0.9176152145904991
image038-roi5,0.7715628487723214,0.662245037023577,0.5267094210098455,0.35750545650734483,0.4372263211564993,0.908600299953286
image038-roi6,0.8028826032366071,0.5936054855684899,0.5684616412468743,0.39709843454142996,0.5453613156063436,0.8833438233106369
image039-roi1,0.6757550920758929,0.8487151646760768,0.3867275755726701,0.23971622505724566,0.25041647088975266,0.9692040196858516
image039-roi2,0.6344866071428571,0.8496433271002147,0.3692066931503551,0.22639698826308408,0.2358459734317627,0.9653587783823459
image039-roi3,0.5689958844866071,0.8568060623070446,0.381795670281019,0.23593786227683747,0.24562306900102987,0.9514502131546894
image061-roi2,0.8199637276785714,0.7280152463925946,0.5088487155090391,0.34124553343542624,0.3911072107649554,0.9542477673460041
image061-roi3,0.75714111328125,0.9287649680971943,0.43278688524590175,0.27615062761506276,0.2821261682242991,0.9894188824262568
image061-roi4,0.7914951869419643,0.6941739650764293,0.5162738950136543,0.34795768119103454,0.4109558160504959,0.9327801425223587
image061-roi5,0.8241838727678571,0.7323457500359557,0.5025165301490181,0.33557400817187294,0.38248328701269435,0.9577343235447753
image062-roi1,0.82879638671875,0.5586266635168123,0.41947787008840137,0.265404616708444,0.3358265480022723,0.9400944807832072
image062-roi2,0.8402012416294643,0.6701432437784672,0.5255882581346586,0.3564731907721479,0.4323311472617324,0.9452119378111089
