image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9014718191964286,0.9709641321632605,0.8537103205426959,0.7447596675099386,0.761724345053828,0.9861908630010364
image021-roi6,0.8375331333705357,0.854596251277026,0.8148015624534097,0.6874811311260944,0.7785480929949856,0.8875886524822695
image023-roi1,0.9163556780133929,0.919518463411335,0.8763358385005092,0.7798912419980267,0.8370271867612293,0.9598407127429806
image023-roi2,0.9002947126116071,0.8765514092399651,0.8807649395743615,0.7869347295459204,0.8850191739485761,0.9111801334985888
image023-roi3,0.85186767578125,0.8626372550938521,0.8384077614495649,0.7217745897612263,0.8155021834061136,0.8842754435723237
image023-roi4,0.8044607979910714,0.9315963518054297,0.7570103584275993,0.6090238672222319,0.6375333065664124,0.9571743413363609
image032-roi3,0.8904244559151786,0.731770944703417,0.731411229135053,0.5765550239234449,0.7310518670426387,0.9312898490392411
image032-roi4,0.8506382533482143,0.9529860661601881,0.7655865126717392,0.6202026472740173,0.6397776913752488,0.9805537941238639
image033-roi1,0.8362165178571429,0.952938346829151,0.7915205327413984,0.6549722640608354,0.6768664224293388,0.9715999806473463
image033-roi2,0.8912266322544643,0.9317118226600986,0.8291072480444939,0.7080983690946955,0.7468594980132777,0.9700953228437758
image034-roi1,0.9309343610491071,0.8592765365414519,0.841322943167932,0.7261065006915629,0.8241042345276873,0.9614492136267333
image034-roi2,0.8897530691964286,0.9359190040681491,0.8287648970747561,0.7075990934739373,0.7436265098306073,0.9715124896316341
image038-roi4,0.8702654157366071,0.7145437101416559,0.7729194328709005,0.6298848287356036,0.8416819012797075,0.8804297719939009
image038-roi5,0.8976178850446429,0.8262248535008759,0.8232903924873585,0.6996546873001662,0.820376702057465,0.9292774076168465
image038-roi6,0.8673967633928571,0.664885350492134,0.7623007189746795,0.6159013992018992,0.8931619235981394,0.8593465697774217
image039-roi1,0.8649117606026786,0.9343648614923883,0.813078361585329,0.6850312061639797,0.7196616974926316,0.965122447175316
image039-roi2,0.8593052455357143,0.9205363212301634,0.8295696994021842,0.7087732596964282,0.7549647230713036,0.9459079957237
image039-roi3,0.8343680245535714,0.8985148514851485,0.8366357069143446,0.7191519560010645,0.7827304325437693,0.8954400121802679
image061-roi2,0.8827340262276786,0.7558820280569977,0.7532610490395728,0.6041850609217729,0.750658183413778,0.924089764140142
image061-roi3,0.8756888253348214,0.9185651443081435,0.7827504761904762,0.6430484965323853,0.6819243840271878,0.9704377856252596
image061-roi4,0.8449619838169643,0.7033371127386387,0.7207976760618671,0.5634743328505143,0.7391472368929538,0.8842484097756946
image061-roi5,0.8750959123883929,0.7113501254252431,0.7429432770470329,0.5910181008393764,0.7774731465484864,0.9046126592627921
image062-roi1,0.9115774972098214,0.7150240808175731,0.7826757816685597,0.6429476797408633,0.8644669570157167,0.9222136719250994
image062-roi2,0.8907296316964286,0.6888191474686164,0.7611951674987615,0.6144593139516997,0.850566391278426,0.9010701050369493
