image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.37336948939732145,0.291230223079283,0.35682003275548824,0.21715213176183526,0.4605415145774615,0.3205232346432873
image021-roi6,0.49873570033482145,0.45796648432751585,0.47847740694710295,0.3144727584932209,0.50091171554475,0.4968891038039974
image023-roi1,0.42431640625,0.30425741659221833,0.3743580024637544,0.23028317614278887,0.4864312450748621,0.3902672786177106
image023-roi2,0.4172276088169643,0.33030927102936475,0.35762684171576314,0.2177500526673065,0.38987028771400434,0.4367225648453716
image023-roi3,0.5574776785714286,0.5265844046773047,0.5623318385650223,0.3911416094822208,0.6032862112352898,0.5166545742365279
image023-roi4,0.7004220145089286,0.7066831182491201,0.6703699439711414,0.5041777906053828,0.637606307259919,0.7578889371222494
image032-roi3,0.7359444754464286,0.3469923473927745,0.33995902532583583,0.20478953863928787,0.3332051610698112,0.8392125501194102
image032-roi4,0.7767072405133929,0.9529405881176235,0.5980947598047678,0.42662994805660037,0.4358118152917229,0.9867399422250405
image033-roi1,0.6848929268973214,0.9189969604863222,0.5009872826942461,0.3342114959469418,0.3443556500446081,0.9742125889012531
image033-roi2,0.7765154157366071,0.9380369542191361,0.5543442352163859,0.38345521023765994,0.39342037069029345,0.985802693847834
image034-roi1,0.5827898297991071,0.266503820618815,0.34791970454762267,0.21059491206651929,0.5009615007260312,0.6061631934713644
image034-roi2,0.7853044782366071,0.9488753667282408,0.5865363625677966,0.4149638851929291,0.4244537876394391,0.9872044165839464
image038-roi4,0.5022757393973214,0.2898399551625358,0.3947750670610813,0.2459313077939234,0.6188133621406017,0.4608347221729726
image038-roi5,0.58184814453125,0.35076684297588173,0.41735411680375173,0.2637065696344403,0.5151460620238738,0.6091879133577558
image038-roi6,0.5384434291294643,0.2827428377691134,0.3865666971828538,0.2395926106817594,0.6108852507050507,0.5158093494306804
image039-roi1,0.6045793805803571,0.5165348670021567,0.503470777585565,0.33642562406719145,0.49105121524069884,0.682904547195945
image039-roi2,0.7715802873883929,0.7835119465917076,0.7314587967566347,0.5766141414141415,0.6858911509698752,0.8427023663257328
image039-roi3,0.7417776925223214,0.8491509778245283,0.7276205542321594,0.571858148646109,0.6365216271884655,0.8662644640682094
image061-roi2,0.4940185546875,0.2711937716262976,0.3852493749735159,0.23858134439006468,0.6648749451513822,0.44051980764827114
image061-roi3,0.47764369419642855,0.3563049095607235,0.4793506222623931,0.31522757926982603,0.7322111299915038,0.35316265060240964
image061-roi4,0.5208740234375,0.32966014711752295,0.45701581027667987,0.29618956131924434,0.744718536648203,0.4377660337653642
image061-roi5,0.48384312220982145,0.25419226299186454,0.36264386998137366,0.22148136458086745,0.6325020656501165,0.4388953237491767
image062-roi1,0.5793021065848214,0.26212400245549416,0.3825234517974379,0.23649397094660884,0.707489111910623,0.5503612500534394
image062-roi2,0.5455060686383929,0.26483965780529056,0.38228079115461644,0.236308494740235,0.6868665360701814,0.5091112426814025
