image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.61419677734375,0.4700268230303786,0.2540587015526746,0.1455138851338303,0.1740747585824516,0.8810117363659281
image021-roi6,0.5446254185267857,0.5112257927218558,0.26899389731817924,0.15539742864073744,0.18251405561464823,0.8519181173436493
image023-roi1,0.65087890625,0.5156215621562156,0.31890862080696736,0.1897033229449144,0.23084121355397952,0.8811285097192224
image023-roi2,0.5831386021205357,0.4974062721056355,0.26089510705727764,0.15001688978967767,0.1768194296012238,0.8726835605596787
image023-roi3,0.5983712332589286,0.6559106180170325,0.4216368247909395,0.2671354929039649,0.3106727851380357,0.8547589209155069
image023-roi4,0.66912841796875,0.8199810066476733,0.5322057717674035,0.3625888162867653,0.39394824250830385,0.9208768824924033
image032-roi3,0.7380545479910714,0.27944695559691574,0.21867360208062422,0.12275886234888746,0.17961206528240622,0.8812471242961373
image032-roi4,0.7026279994419643,0.7747058151490918,0.44299269953780074,0.2845154928986511,0.31017999679802394,0.9444233072641443
image033-roi1,0.6374598911830357,0.8746625269978402,0.3839874364786583,0.23761414059921523,0.24599001537556234,0.9700517683487349
image033-roi2,0.7598528180803571,0.9232826668406289,0.5068399942701619,0.33944117999760165,0.34929292430711517,0.9841443190551309
image034-roi1,0.7730887276785714,0.4810656252179371,0.3464590657960824,0.20952554522811495,0.27071151053726306,0.9165872633313529
image034-roi2,0.7784075055803571,0.9241844162847128,0.5742478054010588,0.4027683124574061,0.41653097431161445,0.9808814130892971
image038-roi4,0.6665998186383929,0.33395795991526805,0.30011165412845714,0.1765478626036395,0.2724945986371946,0.806744441686465
image038-roi5,0.6815534319196429,0.4438281636402176,0.40757202180119384,0.25594377100947335,0.3767920340711415,0.8064686647161508
image038-roi6,0.7323346819196429,0.4284751190325707,0.3985030174778587,0.24883157559889396,0.3724499139288723,0.8447788522057561
image039-roi1,0.6582118443080357,0.6418443675337725,0.4680770222409184,0.30554866598164615,0.36835248387510144,0.8581911413668111
image039-roi2,0.6965593610491071,0.8221798038775358,0.5579983488918524,0.38696096392333706,0.4223042466885826,0.9241914122959582
image039-roi3,0.6051461356026786,0.8342519528926603,0.481645547886405,0.31721548760629636,0.338552394438723,0.9204476248477467
image061-roi2,0.7291782924107143,0.4269808796915572,0.41136337793275973,0.25894113998043566,0.3968480327629077,0.833237920769407
image061-roi3,0.67572021484375,0.5132798023471279,0.32956573468173705,0.1972934472934473,0.24269859813084113,0.8874636476942251
image061-roi4,0.7034824916294643,0.4247440533795141,0.32905198776758404,0.19692532942898974,0.2685495298209455,0.8649624563585059
image061-roi5,0.7238071986607143,0.33037753593980923,0.23694353439969168,0.13439361643985354,0.1847066776834673,0.8868070223251799
image062-roi1,0.7419695172991071,0.27775153519130846,0.26343430320830324,0.1516984377239501,0.25052073470933534,0.8529242016160061
image062-roi2,0.7458932059151786,0.3697602723968159,0.35545725975892956,0.21614352188063155,0.3422195724384635,0.8498234765256671
