image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.5502406529017857,0.3300557194362504,0.238012231512394,0.1350816593447131,0.18611098276579033,0.7709868070922383
image021-roi6,0.5365251813616071,0.49427235138615877,0.4514844128907097,0.2915594887446522,0.4155143595198298,0.6392166344294004
image023-roi1,0.3999110630580357,0.281668343263948,0.34593197304771767,0.20914011238408237,0.44818754925137905,0.3734476241900648
image023-roi2,0.49265834263392855,0.2918075836549556,0.2013341751997145,0.11193528693528694,0.15368496049957042,0.7342123732584706
image023-roi3,0.5450003487723214,0.5504801171811425,0.2800060708914552,0.1627948018610621,0.187754422322552,0.8633665325506233
image023-roi4,0.63616943359375,0.8587666794794355,0.42843640846517356,0.2726179269950842,0.28541446143738364,0.9570574681938091
image032-roi3,0.7241734095982143,0.2748221127531472,0.24095402629810922,0.13697994816532533,0.21451764504827822,0.8548563791327972
image032-roi4,0.7171282087053571,0.894302691366655,0.4409250706555456,0.2828119818724439,0.29259199963405985,0.9786937222574509
image033-roi1,0.63116455078125,0.8804985337243402,0.3621778923719485,0.22113384029018063,0.2279759306011655,0.9737126453464932
image033-roi2,0.7433558872767857,0.9644682812369061,0.4388393197590177,0.2810981120093789,0.2840395863668896,0.9942833259178363
image034-roi1,0.40313720703125,0.20051016141172534,0.2959176326589387,0.17365218860909246,0.5645382834268671,0.3570347618460435
image034-roi2,0.7183140345982143,0.9734390061047445,0.3600744790428651,0.21956758062567944,0.22089095195275477,0.9966277314695204
image038-roi4,0.5935756138392857,0.3367703703703704,0.422475529674142,0.26780917673300764,0.5666943659631045,0.603134640615581
image038-roi5,0.6594063895089286,0.32091421415153415,0.20786015574302402,0.11598433928531016,0.1537100353907984,0.8666805989231186
image038-roi6,0.7444981166294643,0.36880083967462607,0.16097351467430207,0.08753191754375039,0.10295571915174156,0.9449447845740115
image039-roi1,0.5887538364955357,0.49449066786597706,0.3949404112840117,0.24605965663863935,0.32875571312630814,0.76813131759644
image039-roi2,0.7025582449776786,0.8401215805471125,0.564535277072137,0.3932770120053357,0.42509179691254784,0.9328557067862329
image039-roi3,0.6300223214285714,0.847409235107508,0.5312106414477318,0.36166563868036644,0.3868595520082389,0.9176119062119367
image061-roi2,0.6664603097098214,0.2975832498051008,0.2953302017131805,0.17324774687155547,0.2931110136024572,0.7833638653537898
image061-roi3,0.59210205078125,0.34361384610106693,0.2998218909493662,0.17634734228920543,0.2659303313508921,0.7515969048608226
image061-roi4,0.6730259486607143,0.40115886933594946,0.4110256007538873,0.2586735198181279,0.4213899265747778,0.7664522454445454
image061-roi5,0.6378609793526786,0.27995748826498984,0.31349278500471084,0.18588286027912812,0.3561556373469541,0.7230360427880357
image062-roi1,0.6979195731026786,0.29287049235577073,0.35559771590127043,0.21624739842548185,0.4525184624124219,0.7533239280064983
image062-roi2,0.6725115094866071,0.2511930432323518,0.27451662127445864,0.15909548863763573,0.30261476875904947,0.7677455430563779
