image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.5949881417410714,0.3926438653637351,0.19944159112060947,0.1107665211731373,0.1336690846925103,0.8746533710540321
image021-roi6,0.5467878069196429,0.5348740370601708,0.16506569858964884,0.08995727992156313,0.09759155143595198,0.9279819471308833
image023-roi1,0.6246425083705357,0.41388555704508573,0.21416184443511435,0.11992231421854237,0.14445429472025217,0.8878644708423327
image023-roi2,0.5729021344866071,0.4604636591478697,0.2308066770308255,0.13045870908187177,0.1539992875254081,0.8714142786745711
image023-roi3,0.5754743303571429,0.6687460617517328,0.30360156764024376,0.17896831419368983,0.1963770261268596,0.9133137655827452
image023-roi4,0.6533551897321429,0.8208585815481778,0.4917932198189906,0.3260781122864117,0.3510603350731832,0.9299095067953385
image032-roi3,0.7878766741071429,0.42576489533011275,0.17855213398163156,0.09802758416135252,0.11296248825087585,0.9609342477158695
image032-roi4,0.6756678989955357,0.7021434766447776,0.37865196692558256,0.23354144773443777,0.2592228346636782,0.9322482914112591
image033-roi1,0.6507306780133929,0.939799331103679,0.4024286545432847,0.25190027080026145,0.25603158634042633,0.986066089312497
image033-roi2,0.7288556780133929,0.9331555719014344,0.3949411421344489,0.2460602240217233,0.250475085762235,0.990198061184592
image034-roi1,0.7786690848214286,0.5048091224590977,0.2862846538829219,0.1670549630844955,0.19979592637651583,0.944017846133151
image034-roi2,0.7461199079241071,0.899402390438247,0.4819684380948992,0.31749566358820497,0.32918560283860304,0.9793992466787235
image038-roi4,0.6887642996651786,0.3263372956909361,0.22799922140277265,0.12866767563345213,0.17520358982881834,0.8713875394489558
image038-roi5,0.712646484375,0.5161506276150628,0.27236598074715185,0.15765259175953378,0.18499190210545258,0.9289209057605783
image038-roi6,0.7354910714285714,0.40580160258401143,0.3010460347449426,0.1771949334128943,0.2392777350474307,0.8905304113978372
image039-roi1,0.5986502511160714,0.5340557275541795,0.21248930710008557,0.11887442572741194,0.13262996027508436,0.9201662098841835
image039-roi2,0.6281389508928571,0.8091059056417024,0.36509259810635386,0.22331087233655073,0.23573062652594345,0.9538382984155351
image039-roi3,0.5514003208705357,0.8154681139755766,0.3495290473481257,0.2117753401152102,0.22243498970133882,0.9404689403166869
image061-roi2,0.7205113002232143,0.3480563089241896,0.2516692347200822,0.14394829612220916,0.19708936668129295,0.8844057705518663
image061-roi3,0.6554827008928571,0.45278004905968927,0.30961699748392507,0.18316381377656496,0.23523789294817332,0.8609783963439966
image061-roi4,0.7227521623883929,0.4819323858951351,0.3846019857167741,0.2380849687297822,0.31997938941131004,0.8722918360514611
image061-roi5,0.7000645228794643,0.3342714596392478,0.313077860095453,0.1855911738245182,0.29441147750319235,0.822715813858418
image062-roi1,0.7751900809151786,0.33364279083053633,0.26600620605232445,0.15340666557215563,0.22117023291043364,0.9002714719336496
image062-roi2,0.7537405831473214,0.3217521527517784,0.23329804272877813,0.13205285802089736,0.18299122732305595,0.9006863583536171
