image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9247087751116071,0.9253013231214866,0.8972305202147032,0.8136156618964363,0.8708127339093471,0.9573821461583709
image021-roi6,0.8625749860491071,0.8244296293690302,0.8560599833785401,0.7483434191828067,0.8902142531530163,0.8391199226305609
image023-roi1,0.9162684849330357,0.8764113147990773,0.8825938650006725,0.7898595124513108,0.8888642631993696,0.9312904967602592
image023-roi2,0.8953770228794643,0.867767574022979,0.8753829696636098,0.7783831704929538,0.88313321179355,0.9041020203981065
image023-roi3,0.84027099609375,0.8249558842256545,0.8319558217827231,0.7122640027644268,0.8390755680556583,0.8413363234615131
image023-roi4,0.8395298549107143,0.8848513050467448,0.819695900932675,0.6944785683455627,0.7634777530386538,0.9091060874211107
image032-roi3,0.91204833984375,0.7237509659644525,0.8102841881547519,0.6810737321360819,0.9203195761770486,0.9099274774873469
image032-roi4,0.8293892996651786,0.8678728070175439,0.7444059826268696,0.5928715590603608,0.6516936166319786,0.9388712745719721
image033-roi1,0.83477783203125,0.9202421886679624,0.79584118946291,0.6609104899609892,0.7010686964939922,0.9483767961681746
image033-roi2,0.8694283621651786,0.8064593531049045,0.8178113023906564,0.6917772975198107,0.8294874009723833,0.8912483652199706
image034-roi1,0.9403250558035714,0.8473552764006411,0.8691595931788636,0.7685961590478767,0.8921156940465444,0.9540955306197945
image034-roi2,0.8676932198660714,0.8624375540732885,0.8028787445763724,0.6706745377202882,0.7510146547743456,0.932976162956718
image038-roi4,0.8392769949776786,0.6379653310599602,0.7450942430821568,0.5937451788508584,0.8954628552434768,0.8192971880429772
image038-roi5,0.8023158482142857,0.6126478040540541,0.7190652028450348,0.5613597229477432,0.8702237418271249,0.7744818429916652
image038-roi6,0.7908673967633929,0.5344076655052264,0.6823978071743535,0.5179088277858177,0.9437424458850676,0.7431023631057961
image039-roi1,0.9027622767857143,0.9337938415138396,0.8731804949053857,0.7749071532375262,0.8199564307376874,0.959891550997554
image039-roi2,0.8384486607142857,0.8356082015513199,0.8181925228142478,0.6923230209734469,0.8014879750850683,0.8691260710695538
image039-roi3,0.8327200753348214,0.8571286058691495,0.8431175330569389,0.7287840875355189,0.829557157569516,0.8364608708891595
image061-roi2,0.7969709123883929,0.5459044175799345,0.6748041283186459,0.5092108591181183,0.8833918385256692,0.7699106938401649
image061-roi3,0.8828386579241071,0.7935823174426213,0.8297497624326892,0.7090361837119161,0.8693712829226848,0.889424075612796
image061-roi4,0.8127092633928571,0.6208402767257486,0.6960004528857312,0.5337428639649222,0.7918652582764395,0.8204481323831843
image061-roi5,0.8635689871651786,0.6588994702868556,0.7442172200153662,0.5926321270502474,0.8549162472770976,0.8661851877086598
image062-roi1,0.8195713588169643,0.5055034859667492,0.6567243410029694,0.4888976708573122,0.9370384396894528,0.793050746013424
image062-roi2,0.7908761160714286,0.4942938983359098,0.6445234919223359,0.4754958777090122,0.9259432757005366,0.7561015722649825
