image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7600446428571429,0.8574732450571376,0.5788055955186875,0.4072670098429861,0.43683870073464864,0.9559816251645612
image021-roi6,0.7612217494419643,0.8425863144476688,0.694087288732001,0.5314959282830356,0.5900888922656131,0.9064474532559639
image023-roi1,0.7536708286830357,0.8094355686883358,0.5336194799834916,0.36390246099115126,0.3980003940110323,0.9486366090712743
image023-roi2,0.7596522739955357,0.8954017576898933,0.6234752557745632,0.4529342886061881,0.47823809224450453,0.9601893469918019
image023-roi3,0.7619105747767857,0.9057852243064408,0.6861018507874468,0.5221880030797228,0.5521797054252091,0.9488160411582349
image023-roi4,0.7793143136160714,0.9263897726615375,0.7167890072509175,0.5585901393466924,0.5845348030806292,0.9575082646007947
image032-roi3,0.8271658761160714,0.685699481865285,0.4003509196515005,0.25027421612012557,0.28270528924207466,0.9667732959400539
image032-roi4,0.7711530412946429,0.9551065048695381,0.5828936494819147,0.4113266793764719,0.41943599478535326,0.9878531670541817
image033-roi1,0.6899588448660714,0.9270713822517085,0.5110823891761082,0.3432576695048298,0.35278373607182856,0.9764220168690632
image033-roi2,0.79339599609375,0.9455508474576271,0.6010875603966396,0.42968204683852024,0.4405834299958044,0.9861397618951314
image034-roi1,0.8347080775669643,0.737132887467287,0.5168590870861686,0.34848953500360863,0.3979435657941211,0.9594650644007757
image034-roi2,0.7957240513392857,0.9594938021886832,0.6122989342688819,0.44123258920053426,0.4496075047998639,0.9893800737003848
image038-roi4,0.8007027762276786,0.5938408807644371,0.6667930084406024,0.5001421479650973,0.7601794914409175,0.8151129392574732
image038-roi5,0.7537318638392857,0.5700313204022199,0.5950100372813307,0.4234977139124755,0.6222782076660068,0.8076119292897008
image038-roi6,0.7770647321428571,0.5243372141955394,0.5938234733430768,0.42229653395996203,0.6845401604219317,0.8059735652571952
image039-roi1,0.7588762555803571,0.9355967639305518,0.5981924909915146,0.4267294098136363,0.43964375720815,0.9791206200453836
image039-roi2,0.7716849190848214,0.9536705303828592,0.6746679588008001,0.5090557972101395,0.5219639733164158,0.9789535829969205
image039-roi3,0.7178519112723214,0.9494763528808137,0.6603692391658007,0.49294869785953804,0.5062274716786818,0.9681409866017052
image061-roi2,0.809326171875,0.5846776685827307,0.6337386527317187,0.46384877534508545,0.6917873336258593,0.8461300664071445
image061-roi3,0.87091064453125,0.9121857982617476,0.773599620754515,0.630788797725629,0.6715696686491079,0.9683864769422518
image061-roi4,0.7927333286830357,0.6010043559082208,0.6457113048662344,0.47678999845926967,0.6976040190647945,0.8280525132717969
image061-roi5,0.8572910853794643,0.789785887802949,0.6307668012723623,0.4606715655583748,0.5250507023210396,0.9577456791805773
image062-roi1,0.8062395368303571,0.4848350919838683,0.6123573945504658,0.4412933071855986,0.8309032380231017,0.8006711983241418
image062-roi2,0.8413521902901786,0.5839606161664285,0.6689832081066821,0.5026106448702878,0.7829827101609743,0.8563800627151722
