image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7071097237723214,0.8410610004925069,0.41579853562670654,0.26246569327039193,0.2761631936422862,0.968362230749839
image021-roi6,0.6649605887276786,0.8803551371877841,0.46141986123764805,0.2998997904709848,0.3126424555538672,0.963942617666022
image023-roi1,0.7375313895089286,0.8386410520887055,0.46361368496079824,0.3017559323606504,0.3203555949566588,0.9662122030237581
image023-roi2,0.6820068359375,0.8963573592616079,0.41095713408922047,0.2586192876890551,0.2665912281804656,0.9780339570236086
image023-roi3,0.6703752790178571,0.9071808243907331,0.48903846673695023,0.3236604347437159,0.3347457627118644,0.9694776070180068
image023-roi4,0.7443062918526786,0.9471854479053271,0.6478365817631588,0.4791111584780987,0.49226192648830164,0.9748889705145758
image032-roi3,0.8330165318080357,0.7056549057515709,0.4325797754140618,0.27598200446107896,0.3118858412372896,0.9666418351920423
image032-roi4,0.7348981584821429,0.9040713548935138,0.49498372201182644,0.3288892812996645,0.34078173958785996,0.977721411963644
image033-roi1,0.6787283761160714,0.9220190821384787,0.4842529604434366,0.3194813829787234,0.3283536758983315,0.9764058896576193
image033-roi2,0.7586844308035714,0.9470862633154633,0.49571808607558027,0.32953802175440294,0.33571904538611513,0.9897531313621594
image034-roi1,0.8453369140625,0.6953034354033194,0.6084672435105068,0.43726404619142795,0.5409128370158157,0.9322923088995259
image034-roi2,0.7864554268973214,0.9418037135278514,0.5917962564794906,0.42024902944796894,0.4314530828492964,0.9850831508954189
image038-roi4,0.8202601841517857,0.6873887064223814,0.6276103764722885,0.4573120968803475,0.5773973741066977,0.9066226965946834
image038-roi5,0.7709176199776786,0.629151898271641,0.5672305588957156,0.39589800188544755,0.5164057345090276,0.8752366434735575
image038-roi6,0.7791573660714286,0.5370085822433759,0.530841329233505,0.361323347706584,0.5248141229901476,0.858625622246381
image039-roi1,0.7493809291294643,0.9134232792133546,0.5815365352978001,0.409976393308016,0.4265516210328478,0.9721067986915393
image039-roi2,0.7252633231026786,0.9273568392098025,0.5854678928049888,0.4138950892857143,0.42776400023069383,0.9721880933765218
image039-roi3,0.6259765625,0.9291830181947913,0.49276322013054585,0.3269315257641373,0.33528578784757984,0.9697777101096224
image061-roi2,0.812255859375,0.6607873493309743,0.5260817889686138,0.3569273959919959,0.436997221003364,0.9297572704373712
image061-roi3,0.7617013113839286,0.9092997465145755,0.4565303849825008,0.2957819062588575,0.30477378929481735,0.9851345035313669
image061-roi4,0.7878505161830357,0.6716029209007813,0.519482571343932,0.3508790651762132,0.42354759757825583,0.9231072743794538
image061-roi5,0.83551025390625,0.8898041185334004,0.48429512588502227,0.31951808967283485,0.3326823405693683,0.9875428675251527
image062-roi1,0.8500279017857143,0.5914855917187354,0.5959595959595959,0.4244604316546763,0.6005017989017232,0.9063635586336625
image062-roi2,0.84393310546875,0.6589239965841162,0.5639388993105465,0.3926984019271876,0.49288816966186866,0.9343135320044734
