image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7098388671875,0.8626086956521739,0.41705496969484634,0.26346775264485855,0.2750080857552095,0.9734461219573681
image021-roi6,0.6951991489955357,0.8513604766633565,0.5508140267016177,0.3800851214754389,0.4070999848047409,0.9396840747904578
image023-roi1,0.67767333984375,0.7039775910364146,0.25368945955221767,0.14527167630057802,0.15472320724980299,0.9643358531317494
image023-roi2,0.6805507114955357,0.9352128160829276,0.39397899263915304,0.245313723066782,0.24955470338006328,0.9876804993504263
image023-roi3,0.6569301060267857,0.9410634977793783,0.4435267162617034,0.2849562025224439,0.2901339649174747,0.9838071367324055
image023-roi4,0.6763131277901786,0.9628097009061861,0.497557014278947,0.33116532141827615,0.33545643683614995,0.9881457241125989
image032-roi3,0.8147670200892857,0.8053672316384181,0.2116084019891635,0.11832330358995642,0.12180637443390584,0.9924519620516641
image032-roi4,0.7267892020089286,0.9817997977755308,0.44620007069635914,0.28716700411766044,0.2887038858266816,0.9967025998731769
image033-roi1,0.6318795340401786,0.9669701838957329,0.33911995366529435,0.20418088254698308,0.20561492758299957,0.9940329317657683
image033-roi2,0.7501220703125,0.9778422367254854,0.4585679198941999,0.29749472961710055,0.2995138083368296,0.9962922514797288
image034-roi1,0.6225062779017857,0.2757057593996323,0.3358797361558521,0.20183621547878028,0.42965346728935283,0.6775925656058381
image034-roi2,0.7344011579241071,0.9997194163860831,0.4123922143559868,0.2597569866342649,0.2597759253408511,0.9999592064290668
image038-roi4,0.82037353515625,0.7478569935187122,0.5814251173375053,0.4098656506917987,0.475585840119661,0.9429807453636396
image038-roi5,0.7525198800223214,0.6872592704478514,0.39070047012858766,0.24277672544887016,0.272929038450003,0.9490939935583802
image038-roi6,0.8104684012276786,0.6909041020716148,0.48098182946921036,0.31663994466974754,0.3688971907848954,0.9484350861131773
image039-roi1,0.7115216936383929,0.9649360319501794,0.4628622453121196,0.30111956062526407,0.30445089914997225,0.9923673120561106
image039-roi2,0.6947021484375,0.9758213466166676,0.49896972125236105,0.3324181585921562,0.33517888382644134,0.9931068596320467
image039-roi3,0.6324201311383929,0.9691563776348529,0.49479297741027023,0.3287208802407605,0.3321961894953656,0.9874961936662606
image061-roi2,0.8176705496651786,0.7649625421914876,0.4705405747562983,0.30765155779227227,0.3397689044902735,0.9673116555988093
image061-roi3,0.7947562081473214,0.9016206994597669,0.5739470397654256,0.40247245773468043,0.4209590059473237,0.9775394682176983
image061-roi4,0.7889840262276786,0.7347358322483383,0.4697995399277029,0.3070182973971308,0.34529176864614197,0.9537161031134918
image061-roi5,0.8040597098214286,0.7314979937583593,0.3687285802573178,0.2260375408989151,0.24648839480207316,0.9726442733528651
image062-roi1,0.8396170479910714,0.5790296433534043,0.5209396812167935,0.3522098961084698,0.473442529823897,0.9222884870249242
image062-roi2,0.8720354352678571,0.7683774228940632,0.6320697954271961,0.4620628986144711,0.5368367260028958,0.9583360743810714
