image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.6994105747767857,0.8430395515415758,0.38581863531088545,0.23901814489426515,0.25015016402532,0.9717654967647965
image021-roi6,0.6115984235491071,0.8913358446827007,0.292947730988397,0.17161028769084857,0.1752773134781948,0.9818665377176016
image023-roi1,0.7107020786830357,0.8583695127834057,0.349086771428011,0.21145070824222834,0.2190947596532703,0.980183585313175
image023-roi2,0.6605137416294643,0.8729202037351443,0.3456412497268953,0.20892762810353935,0.2154816537792586,0.9776457060940463
image023-roi3,0.6446533203125,0.9316616863713135,0.4130879345603272,0.2603092783505155,0.26537636000296055,0.9826528593100718
image023-roi4,0.7114519391741071,0.946761642030716,0.5815303296619921,0.4099702248292831,0.41964448662262294,0.9784118609543527
image032-roi3,0.8030744280133929,0.6254967899724855,0.15339056115755142,0.08306605497137753,0.08741348372212253,0.9865800486404768
image032-roi4,0.7021571568080357,0.9171318911374738,0.38103176472720024,0.23535468851431512,0.24046840335750064,0.9866131191432396
image033-roi1,0.6525966099330357,0.9798176110031395,0.39685735478890083,0.24754962134803876,0.24881835956037282,0.9956456529101553
image033-roi2,0.7413068498883929,0.9556526121283386,0.434067715784454,0.2771944356469413,0.280806535205706,0.9928811228410792
image034-roi1,0.7943202427455357,0.8326300984528833,0.16720211827007941,0.09122779982278384,0.09293198854048114,0.9946640958669163
image034-roi2,0.72674560546875,0.9322990126939351,0.4029643176925568,0.25232017177621374,0.2570296740953168,0.9895568458410955
image038-roi4,0.7824794224330357,0.6725319006044325,0.44531406336853807,0.28643345442064017,0.33285690543460195,0.9423661099488198
image038-roi5,0.7513950892857143,0.6563916591115141,0.4155460806821909,0.26226454150279443,0.30400095975046487,0.9347724534703612
image038-roi6,0.7780064174107143,0.5514258608181261,0.4369996904161691,0.2795902775812795,0.36190162253232244,0.9080162499284774
image039-roi1,0.6948329380580357,0.9549757561764026,0.4148792109002759,0.26173349927225936,0.2650036307718594,0.9913800724958005
image039-roi2,0.6629900251116071,0.981206797235023,0.41353463318412864,0.26066414170396723,0.2619720475998231,0.9958353943610282
image039-roi3,0.5669206891741071,0.9478067341517696,0.34708766579469724,0.20998552591814987,0.212442070030896,0.9861639768574909
image061-roi2,0.8111049107142857,0.7084800469483568,0.4713518789653489,0.3083455718025669,0.3531519672370923,0.9544996565147699
image061-roi3,0.7346627371651786,0.8931405587563865,0.3506390969421505,0.21259088674411986,0.2181393372982158,0.9872377440797674
image061-roi4,0.7865513392857143,0.7426524885541279,0.4510472260842266,0.29119495034311027,0.32387607883550174,0.958331340571046
image061-roi5,0.8238351004464286,0.8372899159663866,0.44104465224367845,0.2829103815439219,0.2993690377826185,0.9824101201426267
image062-roi1,0.8320661272321429,0.5856145507991917,0.39831302717900663,0.248683440608543,0.3017894338193524,0.9517870120986704
image062-roi2,0.8331211635044643,0.6511239473867353,0.4943594621013976,0.3283383049657835,0.3984328421769866,0.9450365107558714
