image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9108537946428571,0.9387440946971708,0.8737216540684748,0.775759968416897,0.8171233193180243,0.9676759754628722
image021-roi6,0.8721139090401786,0.8448366653955802,0.8638401767561897,0.7603157223865474,0.8837182798966723,0.8622662798194713
image023-roi1,0.8991263253348214,0.8592601756773475,0.8572133838539673,0.7501080006912044,0.8551763199369582,0.9232181425485961
image023-roi2,0.8886457170758929,0.8994103126714207,0.8603850316486832,0.7549787038102912,0.8246055195825737,0.934281063807547
image023-roi3,0.85791015625,0.8305081777746647,0.853387314439946,0.7442681606327386,0.8775627266671601,0.8403964118461843
image023-roi4,0.8395124162946429,0.8587145110410095,0.8255586936330724,0.702937378954164,0.7948680512464869,0.8803552943533576
image032-roi3,0.9290858677455357,0.8369886589294382,0.8234527970130461,0.6998892988929889,0.8103477740750235,0.9595319997370785
image032-roi4,0.8670392717633929,0.8856175514626219,0.8109073323165061,0.6819546990364159,0.7478215127049836,0.9404917917283168
image033-roi1,0.8688528878348214,0.9292295762441272,0.8441783128036715,0.7303707156173813,0.7733907860518973,0.9499572628896737
image033-roi2,0.9030064174107143,0.8597831142444493,0.8632911392405064,0.7594654788418709,0.8668279078950616,0.9227709690032224
image034-roi1,0.9250924246651786,0.7916695447951924,0.8421787452925508,0.7273823501412116,0.8995722302892352,0.932381987960586
image034-roi2,0.9112548828125,0.892479659341495,0.8737220843672456,0.7757606468527617,0.8557367487301626,0.9423178907004256
image038-roi4,0.8710501534598214,0.6979398519592112,0.7848027589016778,0.6458233547274643,0.8963603124480638,0.8620498091084241
image038-roi5,0.8773629324776786,0.7611564201912916,0.7997836268131929,0.666366202528643,0.8425409393557675,0.8916357288618986
image038-roi6,0.8600202287946429,0.6410815963077232,0.7609944915885068,0.6141978275497453,0.9360876094202102,0.8362533615609086
image039-roi1,0.8748517717633929,0.8408675751149558,0.8480343889294751,0.7361629381812834,0.8553244201443766,0.8883240503344827
image039-roi2,0.8617204938616071,0.8380136858243279,0.8496819995639935,0.7386496596957861,0.8616798354384143,0.8617542403982703
image039-roi3,0.8326677594866071,0.8359535094717412,0.8477762530637497,0.7357739808070934,0.8599382080329557,0.8004148903775883
image061-roi2,0.8325020926339286,0.601410627056126,0.7152893051932653,0.5567707251793913,0.8823679976597923,0.8168880238149759
image061-roi3,0.89678955078125,0.8210316967060286,0.8480273209310685,0.7361522858480262,0.8768585386576041,0.9065356252596594
image061-roi4,0.8295113699776786,0.6408190256925225,0.7279809685452345,0.572303519478531,0.8425866288805874,0.8246568463341145
image061-roi5,0.85791015625,0.654853990525874,0.7283094364788263,0.5727096334364675,0.8203259971456471,0.869273920646817
image062-roi1,0.8682948521205357,0.5969649128459581,0.7104158279174096,0.5508875211845509,0.8771066085968566,0.8663054166132274
image062-roi2,0.8340192522321429,0.5576803321224701,0.6930766502208894,0.5303116287103062,0.9152968230985435,0.8130934368352959
