image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7421526227678571,0.8339664913306059,0.5366197624494656,0.3666987900203448,0.39557824700827054,0.9522562393210274
image021-roi6,0.7610560825892857,0.865177641476681,0.6857771866256938,0.5218119634256997,0.5679987843792736,0.9248871695680206
image023-roi1,0.7437395368303571,0.7737967392365518,0.5189380299211053,0.35038238804650546,0.3903664302600473,0.9374460043196544
image023-roi2,0.7483346121651786,0.8698517298187809,0.6057775046097111,0.43449127138070887,0.4647010749984284,0.9504532082966237
image023-roi3,0.7667149135044643,0.891576983785335,0.6990066262417172,0.5372868458372246,0.5748464214343868,0.9377019985489083
image023-roi4,0.7971104213169643,0.8929915978957341,0.7548128088680021,0.6061842060725045,0.6536664598313684,0.9283400674524994
image032-roi3,0.7975638253348214,0.5050526653478051,0.44864518274003184,0.2891957260508833,0.4035717337434846,0.8985889879713416
image032-roi4,0.8252737862723214,0.9009887579574699,0.7264487065729303,0.5704118164083435,0.6085584246277703,0.9587965898682449
image033-roi1,0.7493547712053571,0.8756395367086224,0.6599716110716821,0.4925056935543668,0.529545756534614,0.9361039882593901
image033-roi2,0.829345703125,0.9167561975249692,0.7018735719725819,0.5406819835253808,0.5685974481107628,0.9717941458021545
image034-roi1,0.7127162388392857,0.3994451776239597,0.4737581855933557,0.31040833839134346,0.5820415211333935,0.7500420370598719
image034-roi2,0.8279854910714286,0.8808905644272148,0.7151767151767151,0.5566343042071198,0.6019393880477313,0.9544607769815477
image038-roi4,0.8335745675223214,0.6741622854247166,0.6904425955659353,0.5272335471726154,0.7075286687718132,0.8783967471602662
image038-roi5,0.7947474888392857,0.6702090713343057,0.6211535985580018,0.4504878845884495,0.5787895147261712,0.8832640818233226
image038-roi6,0.8053414481026786,0.5807016406199339,0.6160460916673833,0.4451348328569653,0.6559718712229425,0.8520112147393717
image039-roi1,0.7768205915178571,0.8714995799495939,0.6604854755272583,0.49307824847008497,0.5317372175473069,0.9459081130462971
image039-roi2,0.8157174246651786,0.832421959095802,0.7853595620867905,0.6465778164244745,0.7433339100678624,0.8757958226292862
image039-roi3,0.8075648716517857,0.8987462686567164,0.8036372048329982,0.6717336982389338,0.7267314624098867,0.9031668696711328
image061-roi2,0.7997000558035714,0.5613779174147218,0.635341926471522,0.4655685836590359,0.7317536931402662,0.8209754980535837
image061-roi3,0.87396240234375,0.8458351959469528,0.7970344992207136,0.6625580689590774,0.7535577740016992,0.9328391150810137
image061-roi4,0.7696533203125,0.5550696392071113,0.6387331455296338,0.46921964156553886,0.752093262913822,0.7761729398823474
image061-roi5,0.8384922572544643,0.6553191489361702,0.6485932727514181,0.47993935480248195,0.6420040561856831,0.8979014785037814
image062-roi1,0.768310546875,0.4357698655977364,0.5817672427361728,0.41020575766319667,0.8748816512024238,0.7442499251849002
image062-roi2,0.8068150111607143,0.5174015748031496,0.6402195446721445,0.4708256705438391,0.8394940805723533,0.7984014209591475
