image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7315325055803571,0.8238983929497149,0.5079583226796216,0.34044512991881415,0.3671625929861849,0.9524243018402846
image021-roi6,0.6716221400669643,0.9181873988503823,0.4663086145081979,0.3040433159625975,0.3125094970369245,0.9763700838168923
image023-roi1,0.7295968191964286,0.799687695190506,0.45225899890494187,0.2922058655711514,0.3152827029156816,0.9567089632829374
image023-roi2,0.6853986467633929,0.9111911827045358,0.4168727272727273,0.26332230797500916,0.27025837681523857,0.9812295608284678
image023-roi3,0.6675066266741071,0.8990719839478305,0.4845429108260453,0.31973383759098045,0.33163718451632,0.9668227689466394
image023-roi4,0.7247314453125,0.898271367814515,0.6239428231089935,0.4534279778393352,0.477972040734387,0.9504791798844625
image032-roi3,0.7955235072544643,0.4985252670905158,0.3934511031218477,0.24490453037962456,0.3249594121165513,0.9161828180802348
image032-roi4,0.7337559291294643,0.8208759124087591,0.5249171502808333,0.3558560459032993,0.3858152459803765,0.9481293595434369
image033-roi1,0.6949811662946429,0.8927699613865341,0.5348880497792906,0.3650833983701472,0.3818264649494125,0.9610366571516119
image033-roi2,0.7431379045758929,0.8632899750361319,0.4715021259037333,0.30847417840375585,0.32431698709247514,0.9719424557429653
image034-roi1,0.8223440987723214,0.6326233766233766,0.5444993405021126,0.37409762541086844,0.47792472822887644,0.9207237100227561
image034-roi2,0.785888671875,0.8445118152747207,0.6235243614509551,0.45298612193980975,0.4942037086543369,0.9490896234753403
image038-roi4,0.8321707589285714,0.7330838387748957,0.6390909772744318,0.4696059520529071,0.5664616918730264,0.9266574471354444
image038-roi5,0.788818359375,0.7038162481008133,0.5653266331658292,0.39404553415061294,0.4723771819326975,0.9185208860915104
image038-roi6,0.8114275251116071,0.6122715404699739,0.5886917327551777,0.4171248382923674,0.5668607845291727,0.8878411626709389
image039-roi1,0.7068307059151786,0.8803527174226269,0.4760569086687547,0.31238496462022985,0.3262355303062663,0.9694103085491999
image039-roi2,0.7168927873883929,0.8028068653572092,0.6148170116851533,0.4438525572950567,0.4981640617490436,0.8984378739767995
image039-roi3,0.65423583984375,0.8598355147364716,0.5753964429882324,0.40389934459743854,0.43236676107106076,0.9166412911084044
image061-roi2,0.8089861188616071,0.6574272322203576,0.5091308342109391,0.34149933870385957,0.41542343132953047,0.9322189145866727
image061-roi3,0.77911376953125,0.8606610119918104,0.5373728519512775,0.36740248713978924,0.39063827527612577,0.9690745741587038
image061-roi4,0.7721470424107143,0.6124314442413162,0.5063099826192096,0.33896590104219365,0.4315342006956074,0.8986082548184993
image061-roi5,0.8242623465401786,0.7080306050279689,0.5221555750491951,0.3533224243590978,0.41358071058364004,0.9484340578228975
image062-roi1,0.8093087332589286,0.4768954410307235,0.4131694751529462,0.26037404038012785,0.36446695701571674,0.9097409259971784
image062-roi2,0.8139910016741071,0.5451451619679846,0.5488230442230823,0.37819167541098286,0.5525508900434375,0.8813016687498629
