image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.6930629185267857,0.8123647604327666,0.3739195390033081,0.22995143719648248,0.24284988217899553,0.9659953502703006
image021-roi6,0.7027326311383929,0.8549022608163421,0.5672873116805646,0.3959532963625733,0.4244795623765385,0.9388620245003224
image023-roi1,0.6684395926339286,0.6567889239737673,0.22144875312231277,0.1245107519454805,0.13317572892040977,0.9618520518358531
image023-roi2,0.6596766880580357,0.8421259842519685,0.3540159878188047,0.2150786308973173,0.22411516942226692,0.9700598802395209
image023-roi3,0.6692679268973214,0.9324244538672105,0.47807361541107674,0.3141240077391823,0.3214417881726001,0.9792394960754568
image023-roi4,0.6909441266741071,0.94515253301431,0.5368301383825316,0.3668952952523845,0.3748768113297076,0.9800981734397436
image032-roi3,0.7999267578125,0.5365195300095268,0.22751144626986264,0.1283570750237417,0.14436469281380843,0.9680221730461647
image032-roi4,0.7476632254464286,0.9295635497181379,0.5250287214836697,0.3559586068765995,0.3658257667589141,0.9829211583174805
image033-roi1,0.6571393694196429,0.8284407729753651,0.461475252677422,0.299946590706783,0.31981169681668914,0.9437321592723402
image033-roi2,0.77545166015625,0.9383163144146284,0.551052071893032,0.3803118533134415,0.390063920629828,0.9859914519543206
image034-roi1,0.6068028041294643,0.2633788544129711,0.3262061649259641,0.19489028940743783,0.4283976296063734,0.6577622832288946
image034-roi2,0.7606201171875,0.9657166179171485,0.5084156997564818,0.34085616191688073,0.3450312294942523,0.9931466800832189
image038-roi4,0.8304443359375,0.820046928584321,0.5836509227936453,0.4120812673842061,0.4530496925378095,0.9646466437360377
image038-roi5,0.7851388113839286,0.7780263326089736,0.49697885196374614,0.3306532663316583,0.36509507528042706,0.9573058294200084
image038-roi6,0.8134504045758929,0.6974862949592191,0.49374127446108707,0.3277931381173809,0.3821191810423763,0.9482176574927047
image039-roi1,0.7063337053571429,0.9027828858649013,0.4665484034465282,0.3042472318625021,0.31455298791166547,0.9766304187663926
image039-roi2,0.7156895228794643,0.8571428571428571,0.5882486646209796,0.41668008372242793,0.4477766883903339,0.9380574747490865
image039-roi3,0.6787894112723214,0.9283030364578044,0.5982003599280145,0.4267374186922287,0.4412815396498455,0.9596909257003654
image061-roi2,0.8147234235491071,0.7129985332122651,0.49000360014400574,0.32450646914836123,0.37326312710253035,0.9529539729791618
image061-roi3,0.81036376953125,0.8692061429963346,0.6327237110964756,0.4627621470740805,0.49739804587935427,0.9634010178645617
image061-roi4,0.7915387834821429,0.6850969012332884,0.5251638530287984,0.35608284629265535,0.42576967667138993,0.9273399014778325
image061-roi5,0.8107735770089286,0.700227716330514,0.44242330815477104,0.2840459224069675,0.32336813640802226,0.9581431264336491
image062-roi1,0.8181326729910714,0.506208570628326,0.5097541484510882,0.3420604378272664,0.5133497443665972,0.8869436962934462
image062-roi2,0.8654436383928571,0.7142552964973917,0.6349011072205923,0.4650953206239168,0.5714164040541692,0.9411442229677872
