image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.6639142717633929,0.7781297665141382,0.2560172942924975,0.14680036301657923,0.15321351014184725,0.9735161480070587
image021-roi6,0.6127406529017857,0.884982233027866,0.2988222664266995,0.1756561119566428,0.17975991490654916,0.980174081237911
image023-roi1,0.6944841657366071,0.8214986722087518,0.28882258621039597,0.1687858803435024,0.17521178092986603,0.9791306695464362
image023-roi2,0.6485857282366071,0.8464412478983747,0.31019905180823926,0.18357135622404538,0.18989543387607133,0.9754505950692132
image023-roi3,0.652099609375,0.9329089128305583,0.43307757885762993,0.2763873775843308,0.2819924505958108,0.9819273135017479
image023-roi4,0.7169451032366071,0.9404362747031675,0.5949466591802358,0.4234335038363171,0.435102383472643,0.9747887935352456
image032-roi3,0.80078125,0.5395408163265306,0.24995075832184357,0.14282498593134496,0.16265060240963855,0.9644070024758441
image032-roi4,0.7227085658482143,0.8444380236925744,0.47889493347315987,0.3148335667348917,0.3342176886306978,0.9620658070880012
image033-roi1,0.6560843331473214,0.8864883802405699,0.43497070494363027,0.2779313501144165,0.2881873920388755,0.9686487009531182
image033-roi2,0.7347848074776786,0.8725475733884054,0.437524270946983,0.28001988306862025,0.29196179570078234,0.9767018565708045
image034-roi1,0.8000139508928571,0.6612596629071094,0.3127172479923289,0.18533778503942602,0.20478003218084062,0.9700359837232504
image034-roi2,0.7390311104910714,0.8615354863662734,0.4717613836921991,0.30869615429033376,0.3248110433324422,0.9707918032118138
image038-roi4,0.79547119140625,0.7011898980087421,0.49616599007668016,0.32993401319736054,0.38391224862888484,0.9418223940049407
image038-roi5,0.7617013113839286,0.6788008565310493,0.4550783586553415,0.29456403902741213,0.34227100953752027,0.9336168957293536
image038-roi6,0.7980782645089286,0.6180709850168062,0.4837257000178349,0.31902255418002173,0.39735560194850383,0.9232820278079762
image039-roi1,0.6605224609375,0.8722159305398264,0.3219199554146783,0.1918382597143806,0.19738584426124473,0.9800489199304512
image039-roi2,0.6512102399553571,0.8642012731130646,0.4161314806165343,0.2627310761745028,0.2740450237422381,0.9642577906846866
image039-roi3,0.5806797572544643,0.8754876289210709,0.4052339315087129,0.2541024288860626,0.26362963439752835,0.9556562119366626
image061-roi2,0.8109218052455357,0.7010580132074132,0.47659964760686446,0.3128525255085874,0.3610136024572181,0.9517975727043737
image061-roi3,0.7337210518973214,0.8240698626398617,0.37236163347514234,0.22877418051416737,0.2405214528462192,0.9748909430826755
image061-roi4,0.7895333426339286,0.7210923509849066,0.48299348869088415,0.3183859034817722,0.3631006054360428,0.9478573819886174
image061-roi5,0.81744384765625,0.7505946612633249,0.44869262974958535,0.28923515632956515,0.3199879816720499,0.9678521950444006
image062-roi1,0.8153424944196429,0.497787610619469,0.3645583293326933,0.22291123912963712,0.2875875781102064,0.9344940361677568
image062-roi2,0.8275582449776786,0.6447152566205765,0.45492379351211304,0.2944345344273992,0.3514606932969934,0.9501348595487139
