image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9099469866071429,0.9338405644481887,0.8729174357081334,0.7744928928579227,0.8194566372499191,0.9648049074255624
image021-roi6,0.8776593889508929,0.8639473733813356,0.8672576418387716,0.7656265659973942,0.8705933748670415,0.8836557059961315
image023-roi1,0.9205409458705357,0.8944665714786704,0.886835798283848,0.7966801276187502,0.8793341213553979,0.943129049676026
image023-roi2,0.9087437220982143,0.9035158026991313,0.8885220058795962,0.7994058457115477,0.8740177280442573,0.9334896292203623
image023-roi3,0.8465663364955357,0.8558373850389549,0.8328187198951139,0.7135298809969557,0.8110058470875583,0.878256711298727
image023-roi4,0.8239658900669643,0.891946992864424,0.795944976197455,0.6610536565710832,0.7186005767054787,0.9203593014325308
image032-roi3,0.9165126255580357,0.7829003886275312,0.7998996886167478,0.6665273569463309,0.8176535930957874,0.941861484191845
image032-roi4,0.9042881556919643,0.9000244319569998,0.8703294626297945,0.7704276900554219,0.8425313908011801,0.9423377721411964
image033-roi1,0.8267996651785714,0.9091181090582692,0.7859205931801526,0.6473387068139048,0.6921280917218732,0.9412163142870966
image033-roi2,0.8715994698660714,0.8783185191704069,0.8026217027664593,0.6703158931649764,0.738937288679385,0.9440736695924173
image034-roi1,0.9249965122767857,0.8036555967329904,0.8385328678154448,0.7219600491305191,0.8765747027196735,0.9388276704742902
image034-roi2,0.89312744140625,0.8979558102374786,0.8417328426625346,0.7267173530133108,0.7921355141322575,0.9496335377544499
image038-roi4,0.8651210239955357,0.682426360459311,0.7794710955877112,0.638633868292569,0.9086920392222038,0.8496270817819699
image038-roi5,0.82794189453125,0.6513826781463437,0.7479531491486888,0.5973843140455398,0.8781416831623777,0.8073660659405503
image038-roi6,0.8165544782366071,0.5691635014574684,0.7101547108986457,0.5505735586268772,0.9439988279676226,0.7767351376094296
image039-roi1,0.8726457868303571,0.925349881172432,0.8275397912435649,0.7058148200366573,0.7484302251078553,0.9583443845224413
image039-roi2,0.8589215959821429,0.8549693932130192,0.8421401810802372,0.7273248171492129,0.8296902935578753,0.883183609644014
image039-roi3,0.8352137974330357,0.8794552761349876,0.8413541850294224,0.7261530436294611,0.8064173532440783,0.8692714677222899
image061-roi2,0.8515276227678571,0.6441824075108975,0.730296502787633,0.5751708996557058,0.8429866900687436,0.8542019693153194
image061-roi3,0.90570068359375,0.8500065180550124,0.8577329351872558,0.7509040237694912,0.8656011045029737,0.925308994599086
image061-roi4,0.8359810965401786,0.6652268984693465,0.7237535795579704,0.5670954824753182,0.7935720726523251,0.8517265292457793
image061-roi5,0.8708321707589286,0.6990294533935432,0.736873889875666,0.5833731754647468,0.7790505520919402,0.8985828166519043
image062-roi1,0.8761683872767857,0.6138636662718778,0.7243400621118012,0.5678159520404127,0.8833080855898504,0.8745564533367535
image062-roi2,0.8672921316964286,0.6324378045652731,0.7216227091487727,0.5644833605173548,0.8400902819180649,0.8742955507313115
