image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7810232979910714,0.887066541705717,0.6238166566806471,0.453294729738555,0.4810562306519429,0.9628721884541049
image021-roi6,0.7560163225446429,0.8786613447958244,0.6716421413316435,0.5056183745583039,0.5435724054095122,0.9362991618310768
image023-roi1,0.7659650530133929,0.8005239030779305,0.5773936044589297,0.40587024370808156,0.4515366430260047,0.93832343412527
image023-roi2,0.7855922154017857,0.9199375476562216,0.673274693736547,0.5074710571646036,0.5309193017749,0.9670733346275031
image023-roi3,0.749755859375,0.9331419196062346,0.6554621848739496,0.4875,0.5051439567759604,0.9677461908845063
image023-roi4,0.7413155691964286,0.9481344082185917,0.6418119476505529,0.47255013511591526,0.48508960835127934,0.9757237786756603
image032-roi3,0.7943115234375,0.49610763242511424,0.4985332256281621,0.33203080756597575,0.5009826540203367,0.8695252075984312
image032-roi4,0.7002999441964286,0.9079486955763022,0.3771383009567991,0.23239090624860423,0.2379983075269309,0.9851335165222292
image033-roi1,0.6262468610491071,0.8752867410919101,0.34815006310923224,0.21076373545441154,0.2172889656612441,0.9736965181350493
image033-roi2,0.7401297433035714,0.7403652025662883,0.5254744618519933,0.3563685051613182,0.4072657271897135,0.9219754884116005
image034-roi1,0.8275931222098214,0.8007376185458377,0.4345886591747448,0.2776194651468654,0.2982222047800322,0.9788021119418879
image034-roi2,0.6969342912946429,0.9412902334576599,0.28165171743892864,0.16390839988453768,0.16560138041655528,0.9942209107844604
image038-roi4,0.8422415597098214,0.7200205489505357,0.6844445994732895,0.5202704494233064,0.6522187136446734,0.909814072787017
image038-roi5,0.8023245675223214,0.6865624672191335,0.6339904102290889,0.4641185647425897,0.5888968868094295,0.889804046910727
image038-roi6,0.815185546875,0.5977714450385835,0.6378856732839034,0.46830553116769097,0.6837710141742666,0.856245351032786
image039-roi1,0.7807355608258929,0.9422927804758601,0.6474307746232036,0.47866738535533626,0.4931228909486993,0.9791648248018153
image039-roi2,0.7092110770089286,0.9454068241469816,0.5429753878199858,0.37266040894640806,0.3808562585308649,0.9817459430996793
image039-roi3,0.5791015625,0.9518566775244299,0.3770872583683898,0.23235214604901167,0.23511521627188464,0.9859355968331304
image061-roi2,0.86785888671875,0.8231645905115292,0.672061973903447,0.5060943814365794,0.5678294573643411,0.9618044424089764
image061-roi3,0.8683733258928571,0.9408501328332552,0.7613657919696492,0.6146817091224667,0.6393903993203058,0.9803437889488991
image061-roi4,0.8092128208705357,0.6557733464687299,0.6382648084775745,0.4687143377443244,0.6216668813602989,0.878844038452341
image061-roi5,0.85113525390625,0.7910193139584476,0.6033132740072957,0.43196034069736494,0.48760609930143467,0.9610501691989735
image062-roi1,0.9024919782366071,0.7941298301674655,0.7058885411461484,0.5454619355363167,0.6352963453891308,0.9628168953871147
image062-roi2,0.8750523158482143,0.6832012170710225,0.7042921997523731,0.5435578913839784,0.7267268546120432,0.9132403569940574
