image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7048165457589286,0.8441833309005985,0.40594511125149146,0.25466194051209795,0.2672226585963129,0.970098876782163
image021-roi6,0.6616036551339286,0.8902865523465704,0.44853359099693074,0.28910299855292804,0.29978346755812185,0.9686492585428755
image023-roi1,0.7443411690848214,0.8480848701659163,0.48397599479065845,0.3192403241159945,0.33860323089046496,0.9667521598272139
image023-roi2,0.67864990234375,0.9599559769725703,0.38093158416340517,0.23527825040461467,0.23761027639823137,0.9929368196275777
image023-roi3,0.6587960379464286,0.9205301748448956,0.45478864212667536,0.2943213171514616,0.3019946710088076,0.9767660444561704
image023-roi4,0.7275652204241071,0.9620531334615233,0.6107851563959789,0.43966212944531124,0.44742125050187975,0.9838548101646242
image032-roi3,0.8399571010044643,0.6454027289999424,0.5498467198038013,0.3791645526805344,0.47893702469452276,0.9325277710830174
image032-roi4,0.6754237583705357,0.716110150325928,0.36645846452337594,0.22433372924089934,0.24623196029549665,0.9398576763193124
image033-roi1,0.6371372767857143,0.7886471539625398,0.42077719630330707,0.26644574490587325,0.2869345684402346,0.9346686664408858
image033-roi2,0.7157505580357143,0.6763304386550879,0.4823260393178137,0.31780609789273234,0.3748118166785952,0.9020075772897033
image034-roi1,0.8242361886160714,0.6900121367887485,0.4895158022690437,0.3240787311806324,0.37930222518739454,0.9513266896095598
image034-roi2,0.6987130301339286,0.726050881162998,0.3799748788803157,0.23454875725488458,0.2573213113957275,0.9456765613739274
image038-roi4,0.8226231166294643,0.7256555174650237,0.6062975363356622,0.43502652262060154,0.5206581352833638,0.930002482181483
image038-roi5,0.7839529854910714,0.6634600702397313,0.5838288152104538,0.4122586460458276,0.5212644712374782,0.891623435694441
image038-roi6,0.8001360212053571,0.5915952331172905,0.5524620250693115,0.3816563258699757,0.5181848148555104,0.8882302454654689
image039-roi1,0.7190900530133929,0.9550127733815191,0.48756978575177745,0.32237506309944475,0.32734611934560676,0.9893613886187487
image039-roi2,0.6672886439732143,0.8840973338506735,0.4553370064803448,0.29478080875286466,0.3066305246361766,0.9666352858578928
image039-roi3,0.6361868722098214,0.9432938213711953,0.5101262107425888,0.34239558707643813,0.349591271884655,0.975144640682095
image061-roi2,0.8422328404017857,0.818927488282327,0.5677083333333334,0.39636363636363636,0.43443761883867194,0.969922143347836
image061-roi3,0.7649448939732143,0.9231620553359684,0.46420479389434355,0.30225696241846983,0.3100573491928632,0.987380556709597
image061-roi4,0.7840576171875,0.6764540759038851,0.49316470203012447,0.32728507401874235,0.3880265361329383,0.9310942656272418
image061-roi5,0.8379429408482143,0.8945818610129564,0.495137719345901,0.32902527075812277,0.34229700292946746,0.9878040471485998
image062-roi1,0.8460606166294643,0.7314209472981988,0.3831021349453161,0.2369365086225526,0.2595152433251278,0.9784853148646916
image062-roi2,0.8506992885044643,0.714758527524485,0.5527724815211429,0.3819527161162245,0.45064304573716035,0.9536982216082275
