image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7379935128348214,0.8950635707037545,0.49950865270907246,0.33289672320397834,0.34641685533428823,0.9753788409288255
image021-roi6,0.6953909737723214,0.9455203984103828,0.5183173163097881,0.3498166793843405,0.3570126120650357,0.9825435203094778
image023-roi1,0.6965419224330357,0.7731764705882352,0.32069174165088904,0.19096657213259566,0.20230003940110322,0.9674676025917927
image023-roi2,0.7260829380580357,0.924989574645538,0.530453628278903,0.36096419853539463,0.37184887156597723,0.9785118043215315
image023-roi3,0.6694859095982143,0.9346584787761258,0.47793631555751437,0.31400546537090324,0.32105321589815705,0.9799980212387046
image023-roi4,0.6619175502232143,0.9523379263609668,0.46520095997351796,0.3031021963406305,0.3077709238237763,0.9859084382408922
image032-roi3,0.7938145228794643,0.49184874518027466,0.3807902799235382,0.23517045087004335,0.31064684268990855,0.9177055717447032
image032-roi4,0.6744471958705357,0.9166231732776617,0.2734154552707883,0.15835625084531807,0.1606705852754843,0.9909955611921369
image033-roi1,0.5864693777901786,0.9458587915818059,0.1902924555682652,0.10515094339622641,0.1057876653822061,0.9948554195494057
image033-roi2,0.7110334123883929,0.7659313725490197,0.39068963615304,0.2427683590001371,0.2622226609738641,0.9562216020170152
image034-roi1,0.8203386579241071,0.823170731707317,0.3760787282361847,0.23158679843371247,0.24371100035320434,0.9850460165682066
image034-roi2,0.6858782087053571,0.9732027351690999,0.22621246617122728,0.12753075656301463,0.12798016866357206,0.9980283107382276
image038-roi4,0.8293195452008929,0.8042144263054302,0.5866677928165712,0.41509546717662177,0.461758351337876,0.9600250582130657
image038-roi5,0.7974853515625,0.7747718383311604,0.5511884057971014,0.3804417413572343,0.4277487853158179,0.9490325277210926
image038-roi6,0.8245675223214286,0.7125776857058301,0.5447757817095797,0.3743586554308281,0.44094055598285903,0.9444298220518396
image039-roi1,0.7358660016741071,0.9690674839661729,0.5299110814543536,0.3604619249688602,0.3646576395711418,0.9919694692482245
image039-roi2,0.6646030970982143,0.9684064984445213,0.42140729821605855,0.2669512520486336,0.2692965761193456,0.9927079510459383
image039-roi3,0.5358973911830357,0.9826783587744938,0.25432538070354854,0.14568888032871083,0.14606398043254376,0.9969549330085262
image061-roi2,0.8203560965401786,0.8921055691198698,0.4268825280258144,0.27136087141038334,0.28056896299546585,0.9893748568811541
image061-roi3,0.8037981305803571,0.924468085106383,0.5947338088034003,0.423217901725066,0.4383761682242991,0.982485978396344
image061-roi4,0.7834908621651786,0.7749005744586832,0.4139070502985815,0.26096014762344116,0.28236506505217057,0.9695466067243771
image061-roi5,0.8033534458705357,0.7601226210243964,0.3454360760412131,0.20877771540836373,0.22350334259746113,0.9786741159637528
image062-roi1,0.8817487444196429,0.8632782475019216,0.5698972472408981,0.39850090921186854,0.42534557848892257,0.984791158992775
image062-roi2,0.8578578404017857,0.7461939377314497,0.5717213114754098,0.40028694404591103,0.463376203049144,0.9594215292853541
