image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7071707589285714,0.8786885245901639,0.40131203650884195,0.25102586975914365,0.2600378875386961,0.9782359037561973
image021-roi6,0.6419764927455357,0.9023543301618168,0.3875788625889302,0.24037074037074038,0.2467900015195259,0.9773372018052869
image023-roi1,0.7214617047991071,0.8088854025529487,0.4152587358825575,0.26203566808353357,0.2793291962174941,0.9638228941684666
image023-roi2,0.69647216796875,0.8803323120433656,0.4619046882970337,0.3003095352950635,0.31309067286938663,0.9696716293099586
image023-roi3,0.66943359375,0.9437720070422535,0.47504846302963166,0.3115170885846076,0.31740803789504846,0.9831475496339291
image023-roi4,0.7292218889508929,0.9386849983368445,0.6205910740247523,0.4498963739748109,0.4635179034200825,0.9723010652152135
image032-roi3,0.8226405552455357,0.6564893291126315,0.38730082231392515,0.2401568920433321,0.27467316072801845,0.963147170307399
image032-roi4,0.65728759765625,0.8584875040571243,0.2120878019444723,0.11862316403184213,0.12098895318253551,0.9877122525188473
image033-roi1,0.5791277204241071,0.8283715391485561,0.18737689186686646,0.10337333283798343,0.10563580797631024,0.9814053252052187
image033-roi2,0.6837245396205357,0.7154455043637101,0.2799118575427313,0.16273111280382244,0.17399244798736396,0.9621944478151249
image034-roi1,0.7929425920758929,0.9101229895931883,0.13944555173038592,0.07494838533754042,0.07550724068914093,0.9978701222998195
image034-roi2,0.6613682338169643,0.9335585585585585,0.11353313094884847,0.06018294453586294,0.060441830510122245,0.99759317931494
image038-roi4,0.800048828125,0.6625460164523019,0.5597450468438027,0.38864302852572646,0.484560412165531,0.9122371547108259
image038-roi5,0.7780936104910714,0.6849282969350454,0.5345647403072421,0.36478222887807316,0.4383360326315158,0.9173530351830452
image038-roi6,0.8009469168526786,0.589616216649307,0.5632067349086387,0.3919887074866168,0.5390616415778486,0.8827716427304457
image039-roi1,0.7183663504464286,0.9314832422153554,0.49253731343283585,0.32673267326732675,0.33477852291657767,0.9830106386113813
image039-roi2,0.6363874162946429,0.9485952857267114,0.3434203482696728,0.20730687347931873,0.20966222581079264,0.9905698010243973
image039-roi3,0.5166015625,0.9777651083238312,0.19838056680161942,0.1101123595505618,0.11038877445932029,0.9970310596833131
image061-roi2,0.8376639229910714,0.8328503888973616,0.5398645642825368,0.36973595125253894,0.39937106918238996,0.974902679184795
image061-roi3,0.7604457310267857,0.9453671328671329,0.4404936461388074,0.28245710256209355,0.2871442225998301,0.9918856460324055
image061-roi4,0.77008056640625,0.6362525458248472,0.45334494267885644,0.29311315443798086,0.3521190261496844,0.9252594576498159
image061-roi5,0.8295026506696429,0.8217470427661511,0.4801680136112293,0.31593493090781877,0.33917974911740406,0.9777543094637868
image062-roi1,0.8476736886160714,0.6894835096453018,0.4321653773646233,0.275644746662244,0.31471312251467526,0.9680005130178274
image062-roi2,0.8391549246651786,0.6736087166402317,0.5143353605560382,0.34619883040935673,0.41597819606507114,0.9481064842225292
