image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9192679268973214,0.9426334001092697,0.8867026418511311,0.7964652348816249,0.8370373792912258,0.9691185120864961
image021-roi6,0.8799700055803571,0.8628270687917584,0.8704132542596253,0.7705590186339545,0.8781340221850783,0.8815280464216635
image023-roi1,0.91888427734375,0.9013770290022309,0.8831354814396081,0.7907274935888784,0.8656176122931442,0.9480831533477322
image023-roi2,0.9082554408482143,0.8862583847320001,0.8902517888061414,0.8022106094214069,0.8942813436432597,0.9182134484148909
image023-roi3,0.85003662109375,0.843210313542113,0.8403375386414905,0.7246397694524496,0.8374842720746059,0.8612228744805751
image023-roi4,0.8418055943080357,0.8565341738166112,0.8291506973152656,0.7081617552438554,0.8034638829068876,0.8768824924032458
image032-roi3,0.9114292689732143,0.7672260771340972,0.7892268747146948,0.6518371264052646,0.8125267025549004,0.936789290331062
image032-roi4,0.8981846400669643,0.925374323032813,0.8565320489980465,0.7490651996389737,0.7972234293163781,0.9603889241175227
image033-roi1,0.8564278738839286,0.9507380578995843,0.8226678441424171,0.6987559458470545,0.7250052200983277,0.9680842485525828
image033-roi2,0.8955165318080357,0.858060630395503,0.8508965122500529,0.7404872766648619,0.843851032848787,0.9237417249794388
image034-roi1,0.9212384905133929,0.7719037228063215,0.8379062214007573,0.7210315009264978,0.9162513245163063,0.9226630197181835
image034-roi2,0.9032679966517857,0.9097652095661422,0.8574365827957542,0.750449883030412,0.8108003013585438,0.9550046912606573
image038-roi4,0.8857334681919643,0.7257138299569309,0.8064225468618444,0.6756348695609128,0.9073292338374606,0.8780539697173859
image038-roi5,0.8894740513392857,0.8145701412566975,0.8084907085662488,0.67854335201481,0.8025013496490913,0.9251223170162024
image038-roi6,0.8830304827008929,0.6970040853381753,0.7855350034371953,0.6468156806992602,0.8998278577445702,0.8777822280711792
image039-roi1,0.8995710100446429,0.9177197217094988,0.8707004939380332,0.7710093640032605,0.8282644910512152,0.948766687295553
image039-roi2,0.8606480189732143,0.8518836786907017,0.8451656655686881,0.7318501367426721,0.8385527808216544,0.8789870913181536
image039-roi3,0.8563058035714286,0.8809650937729426,0.8650021298207674,0.7621178440486157,0.8496073635427395,0.8642280755176613
image061-roi2,0.8370535714285714,0.6204852802047971,0.7047056220965142,0.5440505526142435,0.8153795524352786,0.8438401648729105
image061-roi3,0.9146030970982143,0.8541296060991106,0.8728283169293894,0.7743525942309465,0.8923640611724724,0.925477773161612
image061-roi4,0.8491472516741071,0.6884576378039087,0.7438217220700377,0.5921306992314583,0.8088689939456396,0.8641015830503611
image061-roi5,0.8571690150669643,0.653575176135512,0.7268968506693787,0.5709646159084362,0.8187485916021934,0.868785628307329
image062-roi1,0.8917323521205357,0.6561793721973094,0.7465866650339802,0.595642829230168,0.8658871425866314,0.8975674404685563
image062-roi2,0.8213152204241071,0.5377465713636249,0.675101070154578,0.5095491097070649,0.9066944893961332,0.7993333771900971
