image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.81854248046875,0.9479054565745945,0.6956343692870202,0.5333124032919965,0.5494155154091392,0.9816951906109073
image021-roi6,0.8019932338169643,0.8145712064219219,0.773442410335711,0.6305797761582509,0.7362672846072026,0.8577691811734365
image023-roi1,0.8270089285714286,0.8819051121735932,0.7073659989970206,0.5472283712544787,0.5904994089834515,0.9566549676025918
image023-roi2,0.8139299665178571,0.9220014716703459,0.7297981716427361,0.5745529217089654,0.6039060371744096,0.9635940089895023
image023-roi3,0.7990199497767857,0.887909887359199,0.7547715811647553,0.6061310276477222,0.6563540818592258,0.9261592243255722
image023-roi4,0.7773524693080357,0.7725773695291684,0.7645784354400037,0.6188805970149254,0.756743439062671,0.7962066317160317
image032-roi3,0.7833251953125,0.4260245901639344,0.2507387083157451,0.14333976833976833,0.1776467572417329,0.9386297408032251
image032-roi4,0.5712105887276786,0.013035714285714286,0.002960079476106482,0.0014822335025380712,0.0016696018114036092,0.9221165363207214
image033-roi1,0.5456019810267857,0.5443731413366724,0.11775859150160825,0.0625629586990934,0.06602000721322678,0.9530536874868967
image033-roi2,0.6095842633928571,0.11834319526627218,0.02863589031586255,0.014525926578043842,0.01628865470520003,0.9337054564575497
image034-roi1,0.7411063058035714,0.1345252560319389,0.04961270085141796,0.025437358453408606,0.030414818884659158,0.9441075251942113
image034-roi2,0.6203874860491071,0.21628679962013295,0.04016843404836967,0.020495860331173506,0.022140131722847352,0.9551134741164793
image038-roi4,0.7226736886160714,0.02952433023510115,0.00338409475465313,0.001694915254237288,0.001794914409174007,0.9790196565133624
image038-roi5,0.69671630859375,0.15674130538351597,0.018566067548884062,0.009370015948963317,0.00986743446703857,0.978241093600177
image038-roi6,0.7970319475446429,0.5466623385656982,0.669496819627442,0.5031906946964038,0.8635314800571365,0.776254505922069
image039-roi1,0.7574026925223214,0.8135251988514473,0.6392292631060282,0.46975529806372923,0.5264405621289138,0.9167477087201249
image039-roi2,0.5047433035714286,0.03554088172460672,0.006402407025154812,0.0032114841268448486,0.0035180806274871675,0.9207607984554259
image039-roi3,0.4312656947544643,0.06417868249929319,0.006912196830133524,0.0034680844562593577,0.003652806385169928,0.9370051766138855
image061-roi2,0.7234758649553571,0.45416946590527374,0.5770338757001866,0.4055148368230641,0.7910267661254936,0.7023242500572475
image061-roi3,0.8521205357142857,0.7704708156973402,0.776659906766046,0.6348683502335896,0.7829492353440951,0.8859446406314915
image061-roi4,0.6795479910714286,0.448007880910683,0.5719942236921787,0.4005545587995433,0.7908669328867706,0.6382179922521403
image061-roi5,0.7592250279017857,0.4878558434534638,0.5897123499346251,0.41815040350618427,0.7453241192819049,0.7634280393359224
image062-roi1,0.421875,0.23848718483017295,0.3832530277379867,0.23705195328231976,0.9752414315470554,0.29694113120430937
image062-roi2,0.5101492745535714,0.29026837027914615,0.4461423191434825,0.28711916454122094,0.9635891321011839,0.3934061355612569
