image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.71026611328125,0.7589474226273237,0.4700741567658081,0.30725290303750497,0.34047960079471423,0.9344416122797681
image021-roi6,0.6755545479910714,0.9055374592833876,0.48090176055355593,0.3165705469639643,0.32738185686065946,0.9710186976144423
image023-roi1,0.7325003487723214,0.7224936135884911,0.5124203366125777,0.34446581196581194,0.39699074074074076,0.916414686825054
image023-roi2,0.6798270089285714,0.8090689442040794,0.4395433316035288,0.2816760891253741,0.30173298966911843,0.9492585900518166
image023-roi3,0.6363351004464286,0.7849223946784922,0.44897743486762137,0.2894718909710392,0.314410480349345,0.9232240617373524
image023-roi4,0.57025146484375,0.7430488127813576,0.2546163967152126,0.14587990642058746,0.1536299594846151,0.9513974688616555
image032-roi3,0.8211321149553571,0.5762497363425437,0.5158366768940288,0.34756058774887094,0.46688883192343844,0.9119651190815276
image032-roi4,0.7138759068080357,0.7918138041733548,0.4742281255507666,0.31081194606628304,0.33847174256112345,0.9451701543014162
image033-roi1,0.6968296595982143,0.8802598615770031,0.543892328680869,0.37352480135493055,0.393519485203394,0.9545212637282887
image033-roi2,0.7364153180803571,0.8343841403964901,0.45925157412707496,0.29807044837114266,0.31681433401614056,0.9656460246194501
image034-roi1,0.8211669921875,0.6965599051008303,0.462046897130567,0.3004297701071014,0.34566932224010044,0.9569876803389868
image034-roi2,0.8002580915178571,0.8596159154540794,0.6555498751992301,0.4875970206008008,0.529783459304445,0.9515916291592446
image038-roi4,0.7341047014508929,0.02102803738317757,0.0005899124963130468,0.0002950432730133753,0.00029915240152900114,0.9950474569459712
image038-roi5,0.7015032087053571,0.00989010989010989,0.0005255167581455098,0.00026282743918465087,0.00026992981824725573,0.988923856120768
image038-roi6,0.7636544363839286,0.7350835322195705,0.022220619002957943,0.011235135332311958,0.011280811632421346,0.9987297591119757
image039-roi1,0.7076851981026786,0.8623753202158391,0.4855682916724209,0.32062739376253874,0.3379180727008671,0.9627943300032417
image039-roi2,0.6717442103794643,0.7729241054470866,0.5194593007671394,0.35085783257177344,0.3911798066016879,0.9046129788897577
image039-roi3,0.61083984375,0.8296438521195693,0.4968547787071901,0.3305434309799157,0.3546118692070031,0.9138816991473813
image061-roi2,0.80975341796875,0.6133688743079763,0.5782382618444706,0.4067054600826626,0.5469138511042855,0.8920540416762079
image061-roi3,0.7929251534598214,0.7830668456812726,0.618447054287229,0.4476462926783887,0.511018479184367,0.9307748234316576
image061-roi4,0.7460152762276786,0.531938216243149,0.5237012933924162,0.3547393837361274,0.5157155738760788,0.8315199196518246
image061-roi5,0.7689993722098214,0.5032415305873751,0.43800513353556353,0.2804139392128636,0.3877413054908736,0.8842747155413232
image062-roi1,0.8056902204241071,0.4761670156423205,0.5100151711703789,0.3422955464392173,0.5490437417155841,0.8636334487623445
image062-roi2,0.8099539620535714,0.5353310980720872,0.5396054243589201,0.3694928982614481,0.5439485563410271,0.8784400149112997
