image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.62432861328125,0.9506726457399103,0.009745110207083593,0.004896413146407372,0.004897657441205009,0.9998459426906809
image021-roi6,0.68890380859375,0.9421543592683308,0.5033339365508025,0.33630343390751144,0.34339386111533204,0.9821083172147002
image023-roi1,0.6490914481026786,1.0,0.017719850626052577,0.008939125295508275,0.008939125295508275,1.0
image023-roi2,0.5838099888392857,0.37777777777777777,0.0007118033747854122,0.00035602839850049214,0.0003562372959493724,0.9995818836143175
image023-roi3,0.5293143136160714,1.0,0.0022917975825231954,0.0011472133816889942,0.0011472133816889942,1.0
image023-roi4,0.5168805803571429,0.014240506329113924,0.00032475733410312847,0.00016240503816518397,0.0001642515603898237,0.9895982903128862
image032-roi3,0.7887050083705357,0.3307408923454769,0.06251692521954427,0.032267081985543705,0.03452106297530548,0.9820884730834119
image032-roi4,0.5952584402901786,0.03772290809327846,0.004717082270203049,0.002364117002299641,0.002515838345950644,0.9604593813851899
image033-roi1,0.5440761021205357,0.609375,0.04009325720999394,0.02045671680935164,0.020728535904785406,0.9887109519892915
image033-roi2,0.6350969587053571,0.008130081300813009,0.0005254107756973635,0.000262774420104632,0.0002714775784200005,0.9819061872210761
image034-roi1,0.75592041015625,0.13296317942723554,0.03148462097360135,0.015994094488188976,0.01785644205486441,0.966740278229287
image034-roi2,0.6354544503348214,0.22868852459016392,0.013170628083177944,0.0066289678768295,0.006780567234549299,0.9872044165839464
image038-roi4,0.7297276088169643,0.10209424083769633,0.007492555473728026,0.0037603651089541685,0.003888981219877015,0.9878373107336619
image038-roi5,0.7072928292410714,0.4070146818923328,0.02887063179819486,0.014646746308961225,0.014966108811708956,0.9910628672583778
image038-roi6,0.7561819893973214,0.24299065420560748,0.021828103683492497,0.011034482758620689,0.01142731567959565,0.9888768095210848
image039-roi1,0.5904192243303571,0.3975741239892183,0.01240433941636532,0.006240876684507817,0.006300457050104652,0.993413491291663
image039-roi2,0.5239955357142857,0.005758157389635317,0.0005492292482882356,0.0002746900580511656,0.0002883672645481285,0.9586730704791689
image039-roi3,0.44757080078125,0.07016300496102056,0.003115411848005664,0.0015601361573373677,0.0015930741503604531,0.9750304506699148
image061-roi2,0.8168422154017857,0.8412613000430478,0.42669213973799125,0.271207022169795,0.2858344303056896,0.983111976185024
image061-roi3,0.6712559291294643,0.0,0.0,0.0,0.0,0.9994936643124221
image061-roi4,0.72900390625,0.0,0.0,0.0,0.0,0.9996652159357214
image061-roi5,0.7994820731026786,0.7426126487498329,0.32570004398182084,0.19452908829813317,0.20859310448433863,0.9781404010810565
image062-roi1,0.8159266880580357,0.5424836601307189,0.007801851764816469,0.003916202698877041,0.003929180079530392,0.9992518490017528
image062-roi2,0.8648332868303571,0.786308840413318,0.5857074135442835,0.4141345427059713,0.46665531045055786,0.9673486393439028
