image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9220145089285714,0.9416409465020577,0.8911471898352116,0.8036658983646142,0.8457930970752668,0.968222178650458
image021-roi6,0.8792724609375,0.8624187401927819,0.8695987944999057,0.7692833219469115,0.8768994073848959,0.8812862669245648
image023-roi1,0.9171316964285714,0.9019227787253837,0.880154346674737,0.7859604080805351,0.859411938534279,0.9487715982721382
image023-roi2,0.9108625139508929,0.8944832519777816,0.8926707891946373,0.8061476031553398,0.890865656629157,0.9251123687786522
image023-roi3,0.8517630440848214,0.8456213028793222,0.8420465842260273,0.7271851982605068,0.8385019613648138,0.8635808983576281
image023-roi4,0.8389543805803571,0.84918864877336,0.8270696402823812,0.7051310705961238,0.8060736576997481,0.8690352956890507
image032-roi3,0.9120570591517857,0.7656985558126546,0.7919211090939099,0.6555210218928242,0.8200034179270272,0.9356609189106286
image032-roi4,0.9021083286830357,0.922157555601746,0.863436766369464,0.7596909180419101,0.8117466779498205,0.9577820052138378
image033-roi1,0.8604910714285714,0.9513251470334917,0.82854326067854,0.7072760204174976,0.7338319318160248,0.9681003757640266
image033-roi2,0.8980364118303571,0.8597099857738288,0.8548879457970368,0.7465539661898569,0.8501196969323034,0.9242136202456552
image034-roi1,0.9208199637276786,0.7709489822891885,0.8370974975334111,0.7198346342516891,0.9156626506024096,0.9222930935913101
image034-roi2,0.9046369280133929,0.9069234913793104,0.8602603907138385,0.7547867808618448,0.8181641431939145,0.9530194041419072
image038-roi4,0.8837367466517857,0.7214042136984853,0.8036634567246813,0.6717703820401733,0.9070965597473825,0.8754299492925782
image038-roi5,0.8869716099330357,0.8111962862291177,0.803843534841492,0.6720220625442769,0.7966228780517065,0.9240036387775674
image038-roi6,0.8828909737723214,0.697798437232647,0.7846526319164969,0.6456200527704485,0.8962018825770062,0.8787320478342965
image039-roi1,0.8974958147321429,0.9117080730756587,0.8685128847530422,0.7675853070262149,0.8292255777198753,0.944596705272154
image039-roi2,0.8601597377232143,0.8495210709359031,0.8450225151228186,0.7316354874334862,0.8405713516734914,0.8764181200236154
image039-roi3,0.8543439592633929,0.8794868796873173,0.8630883594371093,0.7591516602027134,0.8472901647785788,0.8626865103532277
image061-roi2,0.8312203543526786,0.6081413917232793,0.6989345983357959,0.5372017405441591,0.8215957291209595,0.8342340279367987
image061-roi3,0.9151175362723214,0.8536659490945929,0.8738156035723081,0.7759081073615395,0.8949394647408666,0.9249844204403822
image061-roi4,0.8504115513392857,0.6901581914718923,0.746175469744045,0.5951195336653058,0.8120893984284426,0.8646396288679516
image061-roi5,0.8571428571428571,0.6524107142857143,0.7279580247733537,0.5722751599007962,0.823293021858334,0.8673775294678749
image062-roi1,0.89312744140625,0.6614236300746404,0.7477412583094939,0.5971140255727575,0.8599697027078205,0.9006134838185627
image062-roi2,0.8225620814732143,0.5396556090149405,0.6768405005399225,0.5115335685653248,0.9075462056042927,0.8006819726772362
