image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.8648943219866071,0.8670329380068148,0.8090455357693018,0.6793253311258278,0.7583283278658227,0.9294977731716199
image021-roi6,0.85076904296875,0.8334741070255457,0.8384234127920699,0.721797789336801,0.8434318492630299,0.8569954867827209
image023-roi1,0.8333740234375,0.8492429657547599,0.7323004510688371,0.5776608910891089,0.6436662726556344,0.937365010799136
image023-roi2,0.8483450753348214,0.9294777387560893,0.7905189752977875,0.6536018004023023,0.6877056222627355,0.9628175071303776
image023-roi3,0.8319614955357143,0.8363383115375687,0.8177347355678294,0.691667733265071,0.7999407889867516,0.8604973286722511
image023-roi4,0.8098493303571429,0.8501401154891305,0.7859820604918645,0.6474221137212423,0.7308281928678323,0.8821417838180786
image032-roi3,0.7480991908482143,0.4175586289837643,0.4901704725937952,0.3246528589461873,0.5933521319319832,0.7877785324598497
image032-roi4,0.6844395228794643,0.5962039544270168,0.5632745658810894,0.3920544263396607,0.5337922832376553,0.7772563939970408
image033-roi1,0.5457240513392857,0.5073721608932876,0.43422452924440197,0.2773223475233379,0.3795106395095006,0.6869385714516103
image033-roi2,0.6815359933035714,0.5803855285926999,0.4412556602619018,0.2830840497781965,0.355931785088477,0.8594156588332053
image034-roi1,0.7639596121651786,0.4725635008282717,0.5028921901683897,0.335909135511726,0.537380793532436,0.8286793637270617
image034-roi2,0.744140625,0.626649784320879,0.6655725747629467,0.49877015578026784,0.7096507643327582,0.7634380821582518
image038-roi4,0.8458600725446429,0.6494567181439276,0.753072969046821,0.6039430939845413,0.8960279208908094,0.828020282968689
image038-roi5,0.8492693219866071,0.7321629985250311,0.74547622903753,0.5942304532544657,0.7592825865275028,0.8861529761758414
image038-roi6,0.8612932477678571,0.6619942566318843,0.7453660722860711,0.594090479957133,0.8527634325898253,0.8639583452537621
image039-roi1,0.7473493303571429,0.7643695188433278,0.6403802715516171,0.47099954358740304,0.551001665883559,0.8828131906993193
image039-roi2,0.6720929827008929,0.711526040749222,0.5631106309320508,0.3918956066167553,0.4659246015725628,0.8432129693159516
image039-roi3,0.6518118722098214,0.8059450673572275,0.5943540932316163,0.4228334393247384,0.4707614572605561,0.8659409257003654
image061-roi2,0.7945469447544643,0.5479344494820293,0.6474135480105943,0.4786485529692893,0.7910267661254936,0.7956491870849554
image061-roi3,0.832275390625,0.8059706448827788,0.716191094455428,0.5578642517296067,0.6444084536958369,0.9241405276277523
image061-roi4,0.7736554827008929,0.5883741107062294,0.5663888285699967,0.3950784144664787,0.5459873760144274,0.8581830790568654
image061-roi5,0.8191964285714286,0.6239269483251978,0.588489779718198,0.416922081939094,0.5568617141140239,0.898514682837092
image062-roi1,0.8689923967633929,0.6279313672022486,0.6658214897355487,0.499049778281599,0.7085779208483242,0.9052092685220812
image062-roi2,0.8816179547991071,0.697350069735007,0.7205055890647838,0.563117418026193,0.7452516821395111,0.9167269697169046
