image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9128941127232143,0.9238289205702648,0.8790058862001308,0.7841306884480747,0.8383311001247516,0.9580964118652139
image021-roi6,0.8593401227678571,0.8433891292082001,0.8475495662363681,0.7354325543255432,0.851751253608874,0.8657801418439717
image023-roi1,0.90216064453125,0.8969177989680974,0.8554497790717147,0.747411309202233,0.817646769109535,0.948488120950324
image023-roi2,0.8307582310267857,0.8485288686445894,0.7802707842782104,0.6397082026246914,0.7221768194296012,0.9081338569743307
image023-roi3,0.8214547293526786,0.8209266305906648,0.8074402159091977,0.6770647699853333,0.794389756494708,0.8455741705692237
image023-roi4,0.8266863141741071,0.8672458402574729,0.8057615822852843,0.6747074707470747,0.7524181479724057,0.8946305139079039
image032-roi3,0.9244123186383929,0.7792896941212144,0.8258852356946313,0.7034109959287009,0.8784072460052977,0.9362086720273438
image032-roi4,0.85784912109375,0.897115050399722,0.79164696410086,0.6551454257006875,0.7083685931889394,0.9499471570492496
image033-roi1,0.84259033203125,0.8985360464045667,0.8121924577373212,0.6837744574261241,0.7409882120688673,0.9289112519554243
image033-roi2,0.8735264369419643,0.8463914780292943,0.8142028205817932,0.6866290751182837,0.7843727633949505,0.9222316601275465
image034-roi1,0.9230695452008929,0.799755272439358,0.8343627386562036,0.7157996456756321,0.8721007809740591,0.9376282130326096
image034-roi2,0.9047938755580357,0.860457906033866,0.8685677142891534,0.7676709647219031,0.8768318467932048,0.9204389388232415
image038-roi4,0.8009556361607143,0.5850781964407137,0.6861440316770698,0.5222368723969779,0.8294166528170185,0.7908348403720908
image038-roi5,0.8329206194196429,0.6884936459828788,0.7299453182253791,0.5747353469895027,0.7767080559054645,0.855960956900155
image038-roi6,0.7879289899553571,0.533988552664584,0.6581876440496937,0.49052137665221307,0.8576713181701644,0.7661383532642903
image039-roi1,0.8962663922991071,0.9034121098713239,0.8679710128843955,0.7667392114189362,0.8352056725470932,0.9383933044528925
image039-roi2,0.8368879045758929,0.8525166151631884,0.8115410575944713,0.6828515724336696,0.7743237787646347,0.8888161988798647
image039-roi3,0.8271571568080357,0.8705801999964974,0.8337624219044822,0.7149164437541347,0.7999324150360453,0.8593559683313033
image061-roi2,0.7934308733258929,0.5455610096429372,0.6489234006609267,0.48030096959592855,0.8006069913704841,0.791183879093199
image061-roi3,0.8504987444196429,0.7639174727310146,0.7759747047141214,0.6339531606925557,0.7884186491079015,0.8808553178230162
image061-roi4,0.7395804268973214,0.5130693724495423,0.609004149920798,0.43781881152709545,0.7490660826999871,0.7360586350375437
image061-roi5,0.8156476702008929,0.59468140217579,0.6196002230978211,0.4488556383921589,0.6466987155412003,0.8667302582271581
image062-roi1,0.7829677036830357,0.45521979981455507,0.6060615652449158,0.43478359598528543,0.9064097708767279,0.7550981146594844
image062-roi2,0.7678048270089286,0.46267488736068296,0.5943764089441297,0.4228560282611994,0.8308917468699429,0.7515623972107098
