image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9220755440848214,0.9177592371871275,0.8941076104600875,0.8084942250412497,0.8716444115880423,0.9526483851992942
image021-roi6,0.8669084821428571,0.9042037885996022,0.84564979978158,0.7325764742983286,0.7942182039203769,0.9285944551901999
image023-roi1,0.9225551060267857,0.9060772066352653,0.8885179234862938,0.7993992366239808,0.871626280535855,0.9504724622030237
image023-roi2,0.8636125837053571,0.8824483177948926,0.8255409324113316,0.7029116256101499,0.7755285932817837,0.9263816506637598
image023-roi3,0.8152029854910714,0.8651947705442903,0.7859624318319532,0.647395478064119,0.720024424542965,0.9000230855484467
image023-roi4,0.84234619140625,0.8986643500923011,0.8206943742004582,0.6959132189707367,0.7551739241522795,0.9220957024075868
image032-roi3,0.8836408342633929,0.6570313719369439,0.7592936635342077,0.6119849969470532,0.8992566008715714,0.8796367301329945
image032-roi4,0.9072091238839286,0.9153921494763806,0.872614972109837,0.774016818143209,0.8336573428172815,0.9525258930458677
image033-roi1,0.8878348214285714,0.9176929693892537,0.8718010045443674,0.7727369090523638,0.8302803667356352,0.936732949505701
image033-roi2,0.9012538364955357,0.8549681435727834,0.861282933820017,0.7563625411440742,0.8676917001900343,0.919589046636735
image034-roi1,0.9357997349330357,0.8009634551495016,0.8675266727838651,0.7660460091509913,0.946155959342255,0.9328415931485198
image034-roi2,0.9093366350446429,0.8747044917257684,0.8734697851006353,0.7753629450397511,0.872238559311736,0.9300934172774371
image038-roi4,0.8760114397321429,0.7109202584487756,0.7899370697550743,0.6528066020460483,0.8887153066312116,0.8714939186553669
image038-roi5,0.8514927455357143,0.7407735459108356,0.746592870320776,0.595650728835288,0.752504348869294,0.892065989722912
image038-roi6,0.863525390625,0.6555831530593168,0.7582553362369876,0.6106370805243911,0.8990587114969051,0.8524231847571093
image039-roi1,0.8870762416294643,0.9087442376849372,0.8532547731006742,0.744066557318736,0.8041518944086113,0.9442872719771314
image039-roi2,0.8255702427455357,0.8453737269117901,0.7966165451754252,0.6619806363313789,0.7531768460311052,0.8856568428778862
image039-roi3,0.8248726981026786,0.8661570873887835,0.8320329160290021,0.7123770245306525,0.800495623069001,0.85370356272838
image061-roi2,0.8490164620535714,0.6613588110403397,0.7036656740938494,0.5428118811881188,0.7517551557700746,0.8794710327455919
image061-roi3,0.8577008928571429,0.7941241318487487,0.7793043760480339,0.6384100677981123,0.7650276125743416,0.9030172413793104
image061-roi4,0.7535313197544643,0.533975844821276,0.6076044255035608,0.43637342478864255,0.7047855210614453,0.7716294418671386
image061-roi5,0.8503156389508929,0.6542613914348152,0.700322946670158,0.5388438188362972,0.7533613760985503,0.8796302604982853
image062-roi1,0.7916957310267857,0.4660263338901444,0.6136304825980075,0.442616831151863,0.8980780155273622,0.7676777393014407
image062-roi2,0.8282906668526786,0.5563219074233731,0.6552285579229329,0.4872415768369526,0.7969082701643813,0.8363704142271342
