image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.9196690150669643,0.9447359490432558,0.8870859019768852,0.7970838931348149,0.8360670886660814,0.9703509705610487
image021-roi6,0.8623744419642857,0.8974298158609686,0.8406075172177004,0.7250413727027263,0.7905523476675277,0.9233236621534494
image023-roi1,0.9209943498883929,0.9300651634539358,0.8827586206896553,0.7901234567901234,0.8400315208825847,0.9653752699784017
image023-roi2,0.8886631556919643,0.9221459973911783,0.8567196669621516,0.7493522298994975,0.7999622807568995,0.9518718174623322
image023-roi3,0.8525739397321429,0.8706335582258773,0.837644754277813,0.7206443618339529,0.8070646140182074,0.8931304003693687
image023-roi4,0.8027605329241071,0.9376445302935495,0.7529136765300215,0.6037382195284308,0.6289922254261415,0.9617323938958827
image032-roi3,0.9334019252232143,0.8109078002997082,0.8433680584037404,0.729158540477288,0.87853541826882,0.9474704761070091
image032-roi4,0.8430960518973214,0.9457689375563102,0.7520701009906173,0.6026541247129482,0.6242252361457357,0.977946875220179
image033-roi1,0.8476911272321429,0.9474674053930414,0.8101882035902118,0.6809381164608753,0.7076555114747253,0.9666650539455223
image033-roi2,0.9045584542410714,0.8812230902106376,0.8619776561672509,0.7574347382883482,0.8435548754905107,0.9378851002440373
image034-roi1,0.9458705357142857,0.9022750991442288,0.8744234970466865,0.7768672273740206,0.8482398649974491,0.97375766475725
image034-roi2,0.9017246791294643,0.9174958077138066,0.853484472291913,0.7444159731513186,0.7978224414902666,0.9598591262017107
image038-roi4,0.9019339425223214,0.781248133771275,0.8230908375933936,0.699366496484991,0.8696692704005319,0.9134073259813482
image038-roi5,0.8792898995535714,0.7991959243800638,0.79000697752025,0.6529020935188667,0.7810269329974207,0.9195658053254001
image038-roi6,0.9059709821428571,0.7524682867186306,0.820320570495518,0.6953758368407672,0.9016225323224554,0.9073296332322481
image039-roi1,0.8925694056919643,0.9616012416044527,0.8536576675020489,0.7446795283585801,0.7675024561103755,0.9788553915067928
image039-roi2,0.8467755998883929,0.9166747314429498,0.811749456341257,0.6831467157101386,0.7283772612799662,0.9450463531777058
image039-roi3,0.8328421456473214,0.91214777588092,0.832240958373076,0.7126820933996763,0.7652066168898043,0.9128349573690622
image061-roi2,0.8559395926339286,0.6921820634807925,0.7023813812731924,0.5412849130990061,0.7128857686119643,0.9007327684909548
image061-roi3,0.9064243861607143,0.8873770208848742,0.8518211691933836,0.7418889343178047,0.8190048853016143,0.9491716867469879
image061-roi4,0.8532017299107143,0.7399243907378654,0.7225353505389104,0.5656010527130583,0.7059448666752544,0.9078745994547802
image061-roi5,0.8771711077008929,0.7222675222462509,0.7430926631772837,0.5912071967498549,0.7651543603996094,0.9110399491267516
image062-roi1,0.9032679966517857,0.6994194369333545,0.7602437759336099,0.6132203744378203,0.8326548002272297,0.9192103800607071
image062-roi2,0.8930925641741071,0.692436974789916,0.7670649923057925,0.6221455206631945,0.85972234051614,0.9016840997302809
