image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.7094203404017857,0.7186320133462113,0.4955497699200775,0.3293892745749069,0.37815922007115466,0.9102406095067365
image021-roi6,0.7251238141741071,0.7263550440429499,0.6825500719989527,0.5180842607313195,0.6437281568150737,0.7941972920696325
image023-roi1,0.6210152762276786,0.4658032700548201,0.4723904783870067,0.3092350968644216,0.4791666666666667,0.6987715982721382
image023-roi2,0.70147705078125,0.7247183521098594,0.5594997619752197,0.3884065737763487,0.4556275015192473,0.8766705989517225
image023-roi3,0.7452479771205357,0.7807277414685995,0.7026652961949056,0.5416222152494509,0.6387943157427282,0.8401160873293319
image023-roi4,0.7893153599330357,0.8188138803888507,0.7650267910106678,0.619468329711172,0.7178705697704129,0.8546765953183958
image032-roi3,0.7603410993303571,0.41062823096468937,0.405476726077176,0.2542933883176429,0.4004528753311117,0.8526215464165992
image032-roi4,0.8099801199776786,0.8684228210469727,0.7034360753895352,0.5425386762946326,0.5911305262676395,0.9448178679630804
image033-roi1,0.7340175083705357,0.8778625954198473,0.6281011886619933,0.45783346663112057,0.48898084698468136,0.9422000741851726
image033-roi2,0.8196934291294643,0.8939321737749186,0.6852559321775924,0.5212086131048854,0.5555665243466028,0.963987649826747
image034-roi1,0.3077305385044643,0.20665752589884218,0.32358980038678786,0.19302543044742138,0.7453004199207253,0.1827435066754851
image034-roi2,0.8155255998883929,0.878254617014835,0.6868923058708617,0.5231043188170589,0.5640022358859698,0.9562556941026095
image038-roi4,0.6391950334821429,0.40535603559518024,0.5389723249699184,0.36889946315275746,0.8039886986870534,0.580594068768247
image038-roi5,0.6875261579241071,0.4747679051799114,0.5670971093098824,0.395767998651155,0.7040069581908703,0.680771027462936
image038-roi6,0.6565813337053571,0.3823809987345469,0.4993389942543347,0.3327460314771206,0.7193714976376222,0.6369628654803456
image039-roi1,0.7358311244419643,0.7428647012139561,0.6252365696473412,0.4547957531041929,0.5397676306009995,0.8710989302448944
image039-roi2,0.7798287527901786,0.7282152723304116,0.7718125050831834,0.6284158634390405,0.8209623776842186,0.7456877981841681
image039-roi3,0.8002144949776786,0.8383207713137515,0.8092538481389908,0.6796191168656842,0.7821350411946447,0.821597137637028
image061-roi2,0.6039777483258929,0.35545281479466956,0.4945413267747643,0.32849877287915075,0.8124542928184877,0.5386993359285551
image061-roi3,0.7951485770089286,0.660664882761123,0.7126538000538146,0.5535836436877708,0.7735237892948174,0.8057228915662651
image061-roi4,0.63299560546875,0.4108420695559468,0.5472089846061167,0.3766604961125509,0.8190776761561253,0.5639078865560285
image061-roi5,0.6825212751116071,0.39726171226979695,0.5095963473271647,0.3419183430027653,0.7105085255013897,0.6740591855738003
image062-roi1,0.7040666852678571,0.3701519756838906,0.5184039503930529,0.34989560786867663,0.8647509941298996,0.6677888931640374
image062-roi2,0.6444789341517857,0.3505755072413674,0.4987460660896932,0.33221965639791023,0.8638531641257133,0.5879985965835581
