image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.6899326869419643,0.6684841875681571,0.4629140173083023,0.3011633848209724,0.35404056738899414,0.893560404470463
image021-roi6,0.6368495396205357,0.7965489350229172,0.41498461927436686,0.2618174084117616,0.2805804588968242,0.9391843971631205
image023-roi1,0.6666085379464286,0.5801893171061528,0.3097945774215676,0.18328812183608517,0.21131304176516943,0.9161852051835853
image023-roi2,0.6438337053571429,0.7051029543419874,0.3664619393262609,0.22433633359917968,0.24756396554975796,0.9262173906550988
image023-roi3,0.6725551060267857,0.8617179959638501,0.5112574507405191,0.34341562347017274,0.3634446006957294,0.9480245366400634
image023-roi4,0.7091500418526786,0.875573776236028,0.5997143988575955,0.42828005827405946,0.4560353323356572,0.9407119243997729
image032-roi3,0.7922450474330357,0.4822736842105263,0.32465066182931324,0.19378087568518643,0.24468085106382978,0.9326482767686948
image032-roi4,0.7307652064732143,0.919250603825315,0.4770163612343756,0.313211743772242,0.32207305079706333,0.9825688719791447
image033-roi1,0.6712559291294643,0.9076311778793816,0.46936793661069903,0.30664974805987716,0.31652778041419105,0.9726321221797539
image033-roi2,0.7533482142857143,0.9384813938481393,0.4806301178716998,0.3163351620465476,0.3230336385399442,0.9884318246167536
image034-roi1,0.7852347237723214,0.5268545431568306,0.4037088144866488,0.252904243380145,0.3272242062713394,0.916060398847624
image034-roi2,0.7703683035714286,0.8801006005235333,0.5656275771070427,0.39433801715613,0.41672539917855494,0.9682354060999986
image038-roi4,0.7366856166294643,0.4983076009501188,0.526401630988787,0.3572219147758716,0.5578527505401363,0.8002789499190336
image038-roi5,0.74920654296875,0.5733649501714358,0.5544005329284729,0.3835090877914952,0.5366504708775718,0.8363287684704841
image038-roi6,0.7670811244419643,0.5138484649328702,0.4504063367966259,0.2906609309859529,0.4009083250924807,0.8814899582308177
image039-roi1,0.6913190569196429,0.7331944784774973,0.5035339653334829,0.33648205416549526,0.38343086583230107,0.9037367754103675
image039-roi2,0.6957135881696429,0.8216527000112736,0.5561631988604568,0.3851981043989923,0.42034334928965533,0.9242711940131799
image039-roi3,0.6247732979910714,0.8627838104639685,0.5136411925589386,0.34557012074576476,0.3656668383110196,0.9312195493300852
image061-roi2,0.7935006277901786,0.5848104780858056,0.5162291900725156,0.347917068201217,0.4620447564721369,0.8972864666819327
image061-roi3,0.7500784737723214,0.7752767753379411,0.46933145724177516,0.30661860757656395,0.3365282497875956,0.9523005816368924
image061-roi4,0.7367815290178571,0.5232008592910848,0.3922531808664841,0.24397695967943903,0.31373180471467216,0.8938495384762543
image061-roi5,0.7504970005580357,0.45137632621131374,0.3921918477452792,0.24392950564113405,0.34672876136107567,0.8725784106652131
image062-roi1,0.8018537248883929,0.4637668039650568,0.47416525904158086,0.3107579387946984,0.4850407119863662,0.873380787482365
image062-roi2,0.7887747628348214,0.4839780911717773,0.480918811202297,0.31658532456907496,0.4778979643982625,0.8688134552551368
