image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.647705078125,0.6513973523849548,0.23483069464434508,0.1330357909192344,0.14323337799750496,0.9535307134253942
image021-roi6,0.6818150111607143,0.7719315963105097,0.5568885542900164,0.3858943506722986,0.4355531074304817,0.8907962604771116
image023-roi1,0.6686139787946429,0.6433450859409432,0.23504548748087914,0.13317368000912305,0.14378940110323088,0.9563039956803455
image023-roi2,0.624755859375,0.7262629189606877,0.25894548334883083,0.14872910691326277,0.15756166048490183,0.957680648677707
image023-roi3,0.6464407784598214,0.8910007533174944,0.43129829876158826,0.27493965131873044,0.28450891865887057,0.9689829166941495
image023-roi4,0.6730433872767857,0.8997781065088757,0.5093554549498861,0.34170148520066007,0.35522137460305875,0.9638027181353724
image032-roi3,0.7458583286830357,0.28396176714081434,0.2056523042542174,0.11461117861482381,0.16119798342305391,0.8957735369514253
image032-roi4,0.7352033342633929,0.8635522160513993,0.5108795438805586,0.34307469337428886,0.3627381469707019,0.9646868174452194
image033-roi1,0.6441824776785714,0.8154524682501727,0.42925874125874125,0.2732841827830609,0.2913004688597407,0.9439901946554421
image033-roi2,0.7642473493303571,0.9054436090225564,0.5268444631107376,0.357629897127652,0.37150472617784247,0.9788051611859402
image034-roi1,0.41340855189732145,0.2006760821611711,0.294034314497088,0.17235652334379037,0.5498214355794514,0.37444370957436074
image034-roi2,0.7418561662946429,0.9388546657540497,0.4547296301753352,0.2942718886319754,0.3000218727975308,0.9890673229898967
image038-roi4,0.7659388950892857,0.5731041638471602,0.4862588991808926,0.3212298978456559,0.4222702343360479,0.8881481744146189
image038-roi5,0.7267107282366071,0.5748184744367093,0.3288580544313826,0.19678642816872532,0.23031011936896406,0.930174808841246
image038-roi6,0.8043561662946429,0.6858714755100481,0.44446645209210206,0.2857324759661298,0.3287550818591364,0.9529553126966871
image039-roi1,0.6867588588169643,0.8311151625645701,0.4322581664743904,0.2757202475756537,0.2920849173465465,0.95905166062535
image039-roi2,0.7124285016741071,0.8087653279698955,0.6018854942481562,0.4304979969609062,0.4792856181632928,0.9059373553956376
image039-roi3,0.6599557059151786,0.8645226320597221,0.5846353750625726,0.4130634359244488,0.44165164778578786,0.9181447929354446
image061-roi2,0.76727294921875,0.5150102810143934,0.4578636280543538,0.29690216532321795,0.4121325142606406,0.8784749255782002
image061-roi3,0.7722255161830357,0.7888571857636282,0.546798285942298,0.3762714292536173,0.41841015293118095,0.9452378479434981
image061-roi4,0.7024274553571429,0.4518683106966264,0.45833730120940863,0.2973006362344802,0.464994203271931,0.7905806112200487
image061-roi5,0.8089425223214286,0.6862063517143309,0.442215660319723,0.2838747630564089,0.32622248929617664,0.9548954145942631
image062-roi1,0.7786690848214286,0.4198404335390637,0.4677960415967797,0.30530925013683635,0.5281196743041091,0.8352357744431619
image062-roi2,0.8178885323660714,0.5566120027913468,0.549967679379444,0.3792796005706134,0.5434801124265395,0.8885380347784138
