image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.6625627790178571,0.9662464416429443,0.19716206123973115,0.10936205468102735,0.1097814535877651,0.997675135150276
image021-roi6,0.59564208984375,0.9481354479211316,0.22250909517662246,0.1251815660900568,0.12604467406169276,0.9941489361702127
image023-roi1,0.6957659040178571,0.9067748363222317,0.2674980056262333,0.15439982550953638,0.15689026792750196,0.9911582073434125
image023-roi2,0.6408778599330357,0.8916327019899305,0.26534434475500773,0.15296658097686375,0.15586429454537834,0.9865008138336793
image023-roi3,0.6373378208705357,0.914342762063228,0.3978050934572674,0.2482875783918599,0.2542002812523129,0.9787777851065234
image023-roi4,0.7253679547991071,0.9466278133507151,0.6105471406491498,0.43941551276118607,0.4505785304960397,0.9767589407954053
image032-roi3,0.8089948381696429,0.6603249251817016,0.21998290841760437,0.12358471694338868,0.1319747073399983,0.9825924059507899
image032-roi4,0.7335553850446429,0.9029690847872666,0.4911918478803823,0.3255495718195462,0.33735105093429085,0.9776650461495103
image033-roi1,0.65264892578125,0.9012746813296676,0.42000436776588773,0.2658262840714325,0.2737989028302424,0.9745190059186866
image033-roi2,0.7343488420758929,0.9545125700850063,0.4092909630261551,0.25730096046024087,0.26049507638391867,0.9932181908883766
image034-roi1,0.7961077008928571,0.6233964928798399,0.31178998175289896,0.18468672640423975,0.2078803814606962,0.9641283755759077
image034-roi2,0.7506277901785714,0.8919712589815683,0.4995800671892497,0.33296016419442115,0.34695117505528955,0.976489305285487
image038-roi4,0.7715366908482143,0.9397508493771235,0.2405217391304348,0.1367006029455372,0.13790925710486954,0.9968559034549602
image038-roi5,0.7536708286830357,0.9078673289536933,0.28628451608013544,0.16705486923961435,0.1699358166876612,0.9929314287119219
image038-roi6,0.7930995396205357,0.9624741200828157,0.23864985401225655,0.13549256776450014,0.1362121378603084,0.9983406763174458
image039-roi1,0.6702444893973214,0.9100100191274251,0.3457033615335375,0.2089730181970299,0.21338259792405279,0.9854419002151298
image039-roi2,0.6505039760044643,0.8883754230669096,0.4051290423116309,0.2540199508672672,0.2623949862544937,0.9726348709929633
image039-roi3,0.5741489955357143,0.8965661142243949,0.3811297802782635,0.23542948386793783,0.24200244593202883,0.9669800548112059
image061-roi2,0.8100411551339286,0.7464551577454803,0.4360633671567613,0.27882419146611936,0.3079932719028814,0.9672429585527822
image061-roi3,0.7336164202008929,0.9501328945703076,0.32950729726763966,0.19725156340322667,0.19931499575191164,0.9948847112588284
image061-roi4,0.7720249720982143,0.730198948948949,0.37311786707586075,0.2293453591534766,0.2505796728069046,0.9656248505428284
image061-roi5,0.8185860770089286,0.8630239520958084,0.3993995727729346,0.24953109219448852,0.2598212273717419,0.9875315118893507
image062-roi1,0.8321010044642857,0.7049144361562089,0.25021415777587414,0.14299701811384574,0.15210187464495362,0.9856248129622505
image062-roi2,0.8482404436383929,0.8642848579307038,0.45306853533607766,0.2928820996181035,0.3070011072310706,0.9875885358419402
