image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.91888427734375,0.9440945087687201,0.8859185500386281,0.795200880572372,0.8344961419396572,0.9700428559424106
image021-roi6,0.8615635463169643,0.8969664255640721,0.8395663025575216,0.7234935562521769,0.7890708099073089,0.9230818826563507
image023-roi1,0.9209943498883929,0.9335165590215748,0.8823139765952749,0.7894112998814697,0.836436170212766,0.9673461123110151
image023-roi2,0.8878086635044643,0.9240352328580467,0.8551323478084644,0.7469268139173534,0.7957922088807863,0.9533800229964012
image023-roi3,0.8526349748883929,0.8734991854876013,0.8371254830533792,0.719876023469354,0.8036599807564206,0.8962799287645934
image023-roi4,0.7997698102678571,0.9386472631056723,0.7478589310026791,0.5972641178533847,0.6215279045150929,0.9628343406685144
image032-roi3,0.93511962890625,0.8155263053875648,0.8472230777127604,0.7349410465571902,0.88148338032983,0.9488727240858
image032-roi4,0.8404105050223214,0.9473147040191455,0.7462744500048517,0.5952454666076957,0.6156256432541225,0.9789050940604523
image033-roi1,0.8450055803571429,0.9460246875718776,0.8063827469774535,0.6755789973171755,0.7026631992558987,0.9659393294305482
image033-roi2,0.9051862444196429,0.8772876524041031,0.8637445806079743,0.7601676224084694,0.8506132925294306,0.9349997977591716
image034-roi1,0.9477190290178571,0.9020675993561966,0.8793852590923721,0.7847346880160838,0.8578156273301676,0.9733989485130091
image034-roi2,0.90142822265625,0.9184240044868199,0.8528128946580389,0.7433947702923552,0.7959511021459644,0.9604438340517535
image038-roi4,0.9012363978794643,0.7819564694564695,0.8211968618289159,0.6966361347688682,0.8645836795745389,0.9142701795444605
image038-roi5,0.8782261439732143,0.8006268230621237,0.786999755978526,0.6488042849598914,0.7738288045108271,0.9210163990853883
image038-roi6,0.9045148577008929,0.7497251069028711,0.8176140432689906,0.6914950559202186,0.8990220854851115,0.9062310465182811
image039-roi1,0.8901454380580357,0.959900018813664,0.8500636684954004,0.7392267251728277,0.7627824526931785,0.9780155011345888
image039-roi2,0.8448311941964286,0.9138468980529689,0.8093871168141213,0.6798071213947714,0.7263586904281293,0.9431635046512741
image039-roi3,0.8303920200892857,0.913345726346772,0.829047510238518,0.7080112280280401,0.758995236869207,0.9148332825822169
image061-roi2,0.8584333147321429,0.7013189361547938,0.7045098824300222,0.5438172571717569,0.7077299985373702,0.9056217082665445
image061-roi3,0.9031110491071429,0.8845440852740123,0.8460685986590569,0.7332052821128452,0.8108007646559049,0.9482498961362692
image061-roi4,0.8586251395089286,0.757479003262303,0.7291617946747735,0.573764458464774,0.7028854824165915,0.9164474628150557
image061-roi5,0.8754534040178571,0.7171052631578947,0.7405267938237965,0.5879655003317276,0.7655299331480507,0.9086893325157276
image062-roi1,0.9054129464285714,0.7035657686212361,0.766025364506945,0.6207788575823254,0.8406551789433819,0.920033346158779
image062-roi2,0.8947928292410714,0.6971811524112201,0.7698645813465572,0.6258372612255023,0.8594668256536921,0.9038879021117032
