image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.917236328125,0.9027506316441817,0.8886438291881744,0.7996030908246421,0.874971122302823,0.9428587434525644
image021-roi6,0.8542044503348214,0.8732985598803017,0.8340660322122875,0.7153630096178398,0.7982069594286583,0.9017246937459703
image023-roi1,0.9130684988839286,0.8885112858229774,0.8754341687698344,0.7784641365211982,0.8627364066193853,0.940658747300216
image023-roi2,0.8624441964285714,0.8566006563818624,0.8294707713593913,0.708628841607565,0.8040066218226777,0.9040870876700464
image023-roi3,0.8445521763392857,0.8526524888992756,0.8308410505541218,0.7106313910079533,0.8101176818888314,0.8752391003231976
image023-roi4,0.8400181361607143,0.8969979521589473,0.8177881941685866,0.6917442290245623,0.7514326386100668,0.9210605402878419
image032-roi3,0.9207850864955357,0.7450463707607543,0.8273699811883635,0.7055677988073632,0.9301461163804153,0.9183847856094302
image032-roi4,0.9119175502232143,0.9235343024867099,0.8788932313520513,0.7839514093844904,0.8383688219015164,0.957232438526034
image033-roi1,0.8753836495535714,0.8901241844677954,0.8597200683143245,0.7539552739855734,0.8313243864011693,0.9128162949344429
image033-roi2,0.9213169642857143,0.8951396381702758,0.8877220922709401,0.7981117723388071,0.880426466595918,0.9436557052137685
image034-roi1,0.9246826171875,0.7710579677492034,0.8472502210433245,0.734981898508928,0.9401514854205094,0.9202641048348223
image034-roi2,0.9035906110491071,0.8677045654511683,0.8652620547628042,0.7625214776632302,0.8628332563734902,0.9263948001794917
image038-roi4,0.8781476702008929,0.7113064008394544,0.7951029983139066,0.6598929179849111,0.9012797074954296,0.869921870382847
image038-roi5,0.8633248465401786,0.752725087975281,0.7704810015374477,0.6266523758485173,0.7890948353428109,0.8937501536645932
image038-roi6,0.8451974051339286,0.6208153040309724,0.7343090598904551,0.5801645856980704,0.8985825733435886,0.8285174801167249
image039-roi1,0.8875906808035714,0.8733330399190177,0.8602705280499435,0.7548023888318308,0.8475930118320447,0.9151858073262016
image039-roi2,0.8383876255580357,0.8322418036040327,0.8190029783701968,0.6934843724160741,0.8061787492550513,0.8651210288650253
image039-roi3,0.8349783761160714,0.8860266533280932,0.8397758249944971,0.7238047983188372,0.7981140576725025,0.8785779537149817
image061-roi2,0.8220563616071429,0.5950945464510825,0.6803157993671481,0.5155140896897182,0.7940251572327044,0.8308335241584612
image061-roi3,0.8548148018973214,0.7583798539212552,0.7874168549797642,0.6493714333845733,0.8187659303313509,0.8724423556294142
image061-roi4,0.7701067243303571,0.5536180145544418,0.6472775919732442,0.47849994066220974,0.7790802524797115,0.7667750729350997
image061-roi5,0.8087071010044643,0.5660122250077463,0.6468685112752909,0.4780529583898366,0.7546758807180951,0.8250437191978379
image062-roi1,0.8288487025669643,0.5203917396404507,0.6602862532666448,0.49285622012659863,0.9030486650255634,0.8120965328545167
image062-roi2,0.8317347935267857,0.5650902302426882,0.6530509510625293,0.48483715963694607,0.7734434886295887,0.846742538868057
