image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.8321707589285714,0.8592050209205021,0.749198655304511,0.5989749359334958,0.6641639329113339,0.9340214559816251
image021-roi6,0.7111380440848214,0.6820224928660686,0.6882416600009411,0.5246710762299669,0.6945752925087373,0.7251934235976789
image023-roi1,0.6996895926339286,0.5713525273097575,0.5890760713944831,0.4175108660724856,0.6079343971631206,0.7499865010799136
image023-roi2,0.6945887974330357,0.6465413742149981,0.6152274449924753,0.44428050134856417,0.5868066469688397,0.7713948661280929
image023-roi3,0.655517578125,0.6467986265400929,0.6184792475423451,0.44768002684150926,0.5925357116423655,0.7116450102236
image023-roi4,0.735107421875,0.752827140549273,0.7052660173076177,0.544718858650042,0.663357301894368,0.8007479881123318
image032-roi3,0.8957868303571429,0.7085123425325858,0.765057398962101,0.6195084681013625,0.8314107493805007,0.9122937709515567
image032-roi4,0.8568115234375,0.8429687696289038,0.8033858531679517,0.6713825465751506,0.7673535667726368,0.9119284154160502
image033-roi1,0.8292410714285714,0.8816623999630988,0.7960849645980841,0.661246799972324,0.725650614073385,0.917251278081507
image033-roi2,0.8463134765625,0.7943680082293944,0.778021258374893,0.6366896836030094,0.7623337199832178,0.8921921557524033
image034-roi1,0.86236572265625,0.657874169597499,0.7190731281923508,0.5613693833884458,0.7928260272359797,0.882228973062652
image034-roi2,0.8882184709821429,0.8897817651429673,0.8345464870166743,0.7160701630049611,0.7857680997399568,0.9455405828041501
image038-roi4,0.6960274832589286,0.44490068975062863,0.5252607783860337,0.35617197311073356,0.6410503573209241,0.715577461792135
image038-roi5,0.694580078125,0.4763640441877418,0.4924066774866682,0.32661770925448885,0.5095675124467638,0.7704128045632238
image038-roi6,0.7631138392857143,0.5019289572200154,0.5638885321689996,0.3926495573638559,0.6432992711423653,0.8005492933569834
image039-roi1,0.7965523856026786,0.7955260310510556,0.730450654436653,0.5753621605881925,0.6752167784374866,0.8802640497450859
image039-roi2,0.7640642438616071,0.7214237552787537,0.7503206459054209,0.60041053206728,0.7816290827998539,0.7494854079239202
image039-roi3,0.7413504464285714,0.8309288014019643,0.7332805840781168,0.5788816172399597,0.6561695417095778,0.8420942448233861
image061-roi2,0.7432076590401786,0.47103385581664414,0.537290452324467,0.3673254564983888,0.6252376773438643,0.780146553698191
image061-roi3,0.6392735072544643,0.4569003604232066,0.4871511981058399,0.3220091773189118,0.5216918011894648,0.69676983797258
image061-roi4,0.6860700334821429,0.44535905018316635,0.5285336406254092,0.35918839547922043,0.6499098286744815,0.6994954325888374
image061-roi5,0.7156110491071429,0.42372536036265473,0.5050081952285558,0.33779997563649655,0.6248779388567566,0.7430446730712452
image062-roi1,0.7001953125,0.35471995792795163,0.4849610545236669,0.32009807798781936,0.7663321340655179,0.6852635629088111
image062-roi2,0.7504708426339286,0.4350957893140575,0.5460918665144017,0.3756027316562302,0.733114726173239,0.7549393680240335
