image,accuracy,precision,f1/dice,jaccard,sensitivity/recall,specificity
image021-roi5,0.8958391462053571,0.8971109984794728,0.8556304836487565,0.7476872386262831,0.8178163840502702,0.9431388476513263
image021-roi6,0.8079746791294643,0.7701617883166605,0.7985584530811237,0.6646669204415683,0.8291293116547637,0.7900225660863959
image023-roi1,0.8544747488839286,0.8592801778525506,0.7741359244322947,0.6315022520533428,0.7043439716312057,0.9367710583153348
image023-roi2,0.8316301618303571,0.8101163577619142,0.7935377640920367,0.6577394140271894,0.7776241067873683,0.8701151313333433
image023-roi3,0.8024640764508929,0.8230716976471315,0.7792405211307407,0.6383243666086623,0.7398416105395603,0.8582712222148935
image023-roi4,0.810302734375,0.8992411059551431,0.7737756056982428,0.6310228448348965,0.6790342008249078,0.9303936955287675
image032-roi3,0.8750523158482143,0.6769476721516026,0.7078610454211857,0.5478211479599886,0.7417328890028198,0.9092373085602857
image032-roi4,0.8123256138392857,0.7202587660984661,0.7713034978112117,0.6277412659979246,0.8301351691329506,0.8013527795392095
image033-roi1,0.8269566127232143,0.8687254351487929,0.7958356480052672,0.6609028465980932,0.7342305575065013,0.9057364491105843
image033-roi2,0.8677193777901786,0.8029158699808795,0.8157942665646742,0.6888957243924946,0.8290925244946815,0.8888214752794295
image034-roi1,0.8443516322544643,0.6120872017863439,0.7000688878807736,0.5385430669010444,0.8175895765472313,0.8519959196027218
image034-roi2,0.8860037667410714,0.8120956086714841,0.848192099579666,0.7364006613169886,0.8876467300167692,0.8850845106811167
image038-roi4,0.8154994419642857,0.6045204356482023,0.7092607859302005,0.5494996806472217,0.8579026092737244,0.8004207888609151
image038-roi5,0.8180629185267857,0.6529296396175533,0.7185291102357956,0.5607065411903408,0.7987823165976846,0.8259656283037887
image038-roi6,0.8329816545758929,0.5992399883075125,0.7197717796796138,0.5622214604045251,0.9009998901219646,0.8117297018939177
image039-roi1,0.8304356166294643,0.7992261110989659,0.7899097931183493,0.6527693461414849,0.7808081671009355,0.8646745056434739
image039-roi2,0.7522059849330357,0.7339678762641285,0.722598026296524,0.565677868965201,0.7115750619989619,0.7859296963507842
image039-roi3,0.7658778599330357,0.8510553643543478,0.7611354760655096,0.6143815254699775,0.6884011328527292,0.8575098964677222
image061-roi2,0.8009556361607143,0.5613397025295842,0.6443793619142572,0.4753390025281544,0.7562527424308907,0.8149530570185483
image061-roi3,0.8474208286830357,0.7200314252667874,0.7903985051564913,0.6534371100944686,0.8760089209855565,0.8334415247195679
image061-roi4,0.7072841099330357,0.4779077721843153,0.6187842794363126,0.447999736915665,0.8774314053845162,0.6441125830981874
image061-roi5,0.7614484514508929,0.4917150801365373,0.6139169947645456,0.44291502921952314,0.8169458424096747,0.7446685289909382
image062-roi1,0.7763759068080357,0.44346956630421197,0.5804446334800176,0.4088918595003227,0.8398504071198637,0.7620452310717798
image062-roi2,0.8341413225446429,0.583960843373494,0.6198793013868351,0.4491486157766709,0.6605059194276467,0.8788456899765367
